City,State,Hispanic,White,Black,Native,Asian,Pacific
Aberdeen,WA,9.6,80.1,1.1,4.0,1.5,0.4
Abilene,TX,23.2,65.6,7.2,0.4,1.7,0.0
Abingdon,MD,4.0,77.6,12.9,0.2,2.8,0.0
Abingdon,VA,1.4,95.6,1.4,0.0,0.6,0.0
Adams Run,SC,4.8,65.1,25.2,0.5,1.7,0.1
Addison,ME,1.7,90.5,0.5,4.5,0.5,0.0
Addison,PA,1.3,95.0,2.6,0.1,0.3,0.0
Adena,OH,0.8,93.2,3.8,0.2,0.4,0.0
Adger,AL,2.3,89.6,5.7,0.1,0.4,0.0
Adjuntas,PR,99.8,0.2,0.0,0.0,0.0,0.0
Adrian,MI,7.6,87.3,2.2,0.4,0.3,0.1
Adrian,TX,14.4,72.2,6.1,0.5,0.5,0.0
Afton,TX,26.4,66.9,6.1,0.2,0.0,0.0
Afton,WY,4.4,92.8,0.1,0.3,0.4,0.1
Aguada,PR,94.85,2.55,0.15000000000000002,0.0,0.2,0.0
Aguadilla,PR,98.9,0.7,0.2,0.0,0.0,0.0
Aguas Buenas,PR,99.2,0.8,0.0,0.0,0.0,0.0
Aguirre,PR,99.3,0.3,0.1,0.0,0.3,0.0
Aiken,SC,2.3,51.4,44.8,0.3,0.7,0.0
Akron,AL,1.1,40.0,58.2,0.3,0.3,0.1
Akron,IN,2.7,89.8,5.0,1.0,0.3,0.1
Akutan,AK,12.0,15.0,9.2,29.0,30.5,1.1
Alamo,TN,9.5,75.7,13.1,0.2,0.1,0.0
Alamogordo,NM,36.1,51.1,3.5,6.2,1.1,0.0
Alamosa,CO,44.2,53.1,0.5,1.1,0.4,0.1
Albany,GA,2.266666666666667,50.166666666666664,44.93333333333334,0.10000000000000002,1.2,0.0
Albany,KY,2.7,96.3,0.6,0.0,0.2,0.0
Albany,MN,3.0,89.4,3.7,0.3,1.9,0.0
Albany,OH,0.5,97.0,1.1,0.1,0.2,0.0
Albany,OR,6.9,82.3,0.9,0.6,6.1,0.3
Albion,NE,1.7,97.8,0.1,0.0,0.1,0.1
Albrightsville,PA,3.9,92.8,1.3,0.1,0.5,0.0
Albuquerque,NM,48.7,40.4,2.5,3.9,2.2,0.1
Alexander,IA,11.5,86.5,1.0,0.0,0.2,0.0
Alexander City,AL,2.8,73.6,21.0,0.2,0.5,0.0
Alexandria,KY,1.8,92.5,3.2,0.1,0.8,0.0
Alexandria,NE,1.1,96.0,0.1,0.2,0.0,0.0
Alice,TX,88.5,10.0,0.9,0.2,0.4,0.0
Aliceville,AL,0.4,24.8,72.4,0.4,1.7,0.0
Alix,AR,2.7,92.8,0.7,1.6,0.3,0.0
Alleghany,CA,8.9,88.0,0.1,0.9,0.0,0.5
Allen,TX,15.0,60.8,8.9,0.3,12.4,0.1
Allendale,IL,5.8,72.1,20.5,0.3,0.1,0.0
Allenhurst,GA,11.7,59.2,23.2,0.4,1.2,0.2
Alleyton,TX,27.8,58.1,13.6,0.1,0.2,0.0
Alliance,NE,4.2,82.9,0.4,9.1,0.5,0.0
Allison,TX,26.4,68.8,2.2,0.2,0.5,0.3
Allouez,MI,0.9,97.8,0.6,0.5,0.1,0.0
Alma,GA,9.45,73.3,15.65,0.0,0.6,0.15
Alma Center,WI,3.1,86.7,2.3,5.4,0.5,0.0
Almena,WI,2.3,94.1,1.3,0.8,0.5,0.0
