City,State,Employed,Unemployment
Aberdeen,WA,26197,14.3
Abilene,TX,60708,5.9
Abingdon,MD,127274,6.4
Abingdon,VA,24442,6.9
Adams Run,SC,66723,8.0
Addison,ME,12954,9.8
Addison,PA,33159,6.9
Adena,OH,29728,8.5
Adger,AL,24043,11.4
Adjuntas,PR,4093,36.5
Adrian,MI,43095,8.6
Adrian,TX,773,7.4
Afton,TX,744,13.6
Afton,WY,8724,6.4
Aguada,PR,26156,48.3
Aguadilla,PR,10452,20.3
Aguas Buenas,PR,6459,24.6
Aguirre,PR,7804,12.1
Aiken,SC,8026,14.7
Akron,AL,5282,13.3
Akron,IN,14752,9.4
Akutan,AK,2519,2.9
Alamo,TN,5766,7.4
Alamogordo,NM,22092,12.7
Alamosa,CO,5093,8.1
Albany,GA,48369,32.300000000000004
Albany,KY,3555,9.3
Albany,MN,83520,5.0
Albany,OH,8770,12.1
Albany,OR,39915,8.6
Albion,NE,2777,1.2
Albrightsville,PA,28973,8.6
Albuquerque,NM,307756,8.4
Alexander,IA,5012,4.2
Alexander City,AL,33636,8.3
Alexandria,KY,45872,6.8
Alexandria,NE,2542,1.7
Alice,TX,4336,10.9
Aliceville,AL,4416,16.8
Alix,AR,6592,11.0
Alleghany,CA,1110,8.0
Allen,TX,444189,4.9
Allendale,IL,4197,6.1
Allenhurst,GA,5728,15.6
Alleyton,TX,9169,4.2
Alliance,NE,2564,1.4
Allison,TX,2688,3.9
Allouez,MI,842,7.0
Alma,GA,10204,11.0
Alma Center,WI,9294,5.6
Almena,WI,22257,6.0
Almyra,AR,8088,8.3
Alpena,AR,11454,6.2
Alpena,MI,4490,13.1
Alpena,SD,1033,0.9
Alpharetta,GA,471816,9.9
Alpine,CA,1462130,8.7
Alpine,TN,8479,7.7
Alston,GA,3394,6.7
Altamont,NY,74134,7.4
Alto,GA,16970,7.7
Alto,NM,8030,7.3
Altonah,UT,7875,5.2
Altoona,FL,121642,9.7
Altus,OK,10388,7.6
Alva,OK,6541,7.7
Alvo,NE,13103,3.8
Amado,AZ,422371,10.0
Amargosa Valley,NV,14143,13.4
Amarillo,TX,118690,9.2
Amasa,MI,4324,9.0
Amboy,WA,201261,8.6
Amelia,NE,5529,0.9
Amistad,NM,1692,2.1
Amity,AR,4476,6.6
Anaconda,MT,5099,11.1
Anamosa,IA,9815,5.0
Anawalt,WV,4627,13.3
Anchorage,AK,152355,6.7
Andalusia,AL,26496,26.799999999999997
Anderson,SC,81226,9.2
Andersonville,GA,4461,18.7
Andrews,NC,9362,8.4
Andrews,TX,7923,3.9
Angela,MT,4002,10.6
Angola,LA,5021,8.5
Angoon,AK,1086,13.1
Angora,NE,2451,4.0
Animas,NM,1867,12.2
Annabella,UT,8449,5.9
Annapolis,MO,4854,10.2
Anniston,AL,47401,12.3
Antigo,WI,8779,8.2
Apache,OK,11208,9.5
Appleton City,MO,3408,9.3
Arab,AL,38140,8.4
Aragon,NM,1049,4.6
Aransas Pass,TX,9464,6.8
Arapahoe,NC,5107,9.7
Arapahoe,NE,2323,3.4
Arcadia,FL,12279,9.4
Arcadia,LA,5494,13.5
Arcadia,NE,2268,1.4
Arcanum,OH,68494,14.899999999999999
Arco,ID,960,6.8
Arcola,IL,9415,6.1
Ardenvoir,WA,33140,7.5
Ardmore,OK,4078,6.7
Arena,WI,12424,4.7
Arkadelphia,AR,9780,8.4
Arlington,KY,2122,6.8
Arlington,NE,10850,1.4
Arlington,OR,783,9.2
Arlington,TX,924741,6.9
Arlington,VA,233880,8.2
Armagh,PA,38903,7.8
Armour,SD,1538,0.4
Armstrong,TX,185,0.0
Arnett,WV,29014,6.6
Arnold,CA,408,10.7
Arnold,KS,1524,2.7
Arnold,NE,5694,2.3
Arpin,WI,36445,6.6
Arroyo,PR,4000,22.9
Artemus,KY,9477,15.7
Ash,NC,45213,11.4
Ash Grove,MO,151111,13.8
Ashburn,GA,18938,18.3
Ashburnham,MA,403519,7.8
Ashford,WV,7592,9.2
Ashland,AL,5180,9.4
Ashland,IL,6183,8.5
Ashland,KY,18376,10.5
Ashland,MA,832753,6.1
Ashley,ND,2755,1.5
Aspen,CO,10290,7.7
Assaria,KS,28311,5.0
Astoria,NY,1104930,8.6
Atchison,KS,7519,7.3
Athens,AL,37664,7.8
Athens,GA,53922,9.2
Athens,TN,20767,9.3
Atkins,AR,8306,8.1
Atlanta,MI,2937,16.0
Atlantic,VA,14296,6.8
Atlantic City,NJ,128151,12.5
Attleboro,MA,269391,9.0
Atwood,TN,10700,11.5
Au Gres,MI,5569,12.0
Auburn,AL,11450,34.9
Auburn,KY,7524,7.0
Auburn,WV,3730,10.6
Auburntown,TN,5724,12.9
Audubon,MN,15929,3.5
Augusta,GA,137735,19.1
Augusta,KY,3486,8.3
Augusta,MO,198960,5.1
Aurora,CO,229743,7.9
Aurora,MO,14259,11.4
Austin,NV,2644,12.0
Austin,PA,2254,4.5
Austin,TX,599597,6.0
Austinburg,OH,40422,8.9
Austinville,VA,13033,6.7
Autaugaville,AL,23986,7.6
Avera,GA,5097,17.0
Avinger,TX,11964,9.2
Avoca,TX,5003,4.2
Avondale,CO,65300,10.8
Axtell,TX,117121,14.399999999999999
Axton,VA,21466,10.0
Azle,TX,27154,7.5
Bainbridge,NY,21652,7.1
Bajadero,PR,23545,17.7
Baker,MT,1632,3.3
Baker City,OR,6376,10.1
Bakersfield,CA,327294,12.7
Bakersfield,MO,16205,8.3
Baldwin,IA,23564,4.8
Baldwyn,MS,37654,7.8
Balko,OK,2555,3.0
Ball Ground,GA,110111,6.3
Baltic,OH,19207,4.2
Baltimore,MD,270930,13.1
Bandana,KY,3489,6.2
Banks,AL,14462,10.2
Barceloneta,PR,3140,15.7
Barksdale,TX,912,4.9
Barnesville,GA,9904,11.1
Barnesville,MN,3312,2.0
Barnhart,MO,106972,8.3
Barnum,IA,16774,8.4
Barranquitas,PR,14236,29.900000000000002
Bartlett,TX,233418,6.0
Barton,NY,23960,6.9
Bartow,GA,7370,12.2
Basehor,KS,33513,5.9
Basile,LA,24619,10.1
Bassett,AR,17164,12.0
Batavia,NY,29675,6.7
Bates,OR,2878,9.0
Batesburg,SC,8107,9.0
Batesville,IN,13088,7.4
Bath,IL,6190,9.5
Bath Springs,TN,4569,10.1
Battle Creek,NE,18727,3.1
Battle Ground,IN,11433,6.0
Battle Mountain,NV,853,4.7
Bauxite,AR,53363,5.3
Bay City,MI,45913,9.7
Bay City,TX,15874,6.4
Bay Port,MI,13869,7.8
Bayamon,PR,68598,16.1
Bayport,NY,735010,6.4
Beach,ND,964,1.0
Beach Haven,NJ,246680,8.8
Bealeton,VA,34515,5.0
Bear Creek,NC,29621,9.0
Beattyville,KY,1967,9.7
Beaufort,SC,70487,7.2
Beaumont,KY,4014,7.4
Beaverton,MI,10708,13.2
Beaverton,OR,276371,7.6
Bechtelsville,PA,197703,9.0
Becker,MN,47444,5.2
Bedford,KY,3598,14.6
Bee Branch,AR,5478,11.2
Beeson,WV,23443,5.1
Beeville,TX,10451,7.0
Bejou,MN,3105,5.1
Belden,MS,13476,6.6
Belgium,WI,45522,4.5
Bella Vista,CA,69261,10.3
Bellaire,MI,9528,9.7
Belle Plaine,MN,74498,4.6
