City,State,PrivateWork,PublicWork,SelfEmployed,FamilyWork
Aberdeen,WA,71.2,21.7,7.0,0.2
Abilene,TX,77.5,16.5,5.7,0.2
Abingdon,MD,74.4,21.2,4.2,0.2
Abingdon,VA,78.1,15.9,6.0,0.0
Adams Run,SC,77.0,18.3,4.5,0.2
Addison,ME,64.0,19.8,16.1,0.2
Addison,PA,79.8,12.6,7.1,0.5
Adena,OH,82.2,13.9,3.8,0.1
Adger,AL,78.3,15.3,6.2,0.2
Adjuntas,PR,63.0,28.7,8.0,0.3
Adrian,MI,82.3,12.2,5.4,0.1
Adrian,TX,73.2,20.1,6.7,0.0
Afton,TX,59.0,31.2,9.5,0.3
Afton,WY,73.6,19.8,6.2,0.3
Aguada,PR,65.6,24.65,9.649999999999999,0.05
Aguadilla,PR,64.9,25.3,9.6,0.2
Aguas Buenas,PR,68.5,20.5,11.0,0.0
Aguirre,PR,61.6,32.4,6.0,0.0
Aiken,SC,72.7,22.3,4.9,0.1
Akron,AL,76.3,17.6,5.8,0.3
Akron,IN,78.6,15.8,5.4,0.2
Akutan,AK,78.6,15.4,5.9,0.2
Alamo,TN,77.7,14.3,7.9,0.1
Alamogordo,NM,62.7,31.5,5.3,0.4
Alamosa,CO,69.9,21.0,8.6,0.5
Albany,GA,71.36666666666667,23.566666666666666,5.066666666666666,0.06666666666666667
Albany,KY,72.2,20.3,7.5,0.0
Albany,MN,83.2,11.0,5.6,0.2
Albany,OH,71.9,20.4,7.5,0.2
Albany,OR,64.8,28.4,6.7,0.1
Albion,NE,72.7,11.8,15.6,0.0
Albrightsville,PA,83.8,11.3,4.8,0.1
Albuquerque,NM,74.0,20.1,5.6,0.2
Alexander,IA,73.0,12.6,13.9,0.5
Alexander City,AL,70.4,24.1,5.5,0.0
Alexandria,KY,83.9,12.2,3.8,0.0
Alexandria,NE,71.3,12.9,15.6,0.3
Alice,TX,76.0,17.2,6.4,0.3
Aliceville,AL,71.1,23.8,5.1,0.0
Alix,AR,71.5,20.1,7.8,0.5
Alleghany,CA,45.0,42.3,9.7,3.1
Allen,TX,84.1,10.0,5.8,0.2
Allendale,IL,78.5,13.2,8.3,0.0
Allenhurst,GA,63.1,29.1,7.8,0.0
Alleyton,TX,72.6,17.3,9.0,1.1
Alliance,NE,64.4,20.8,14.4,0.5
Allison,TX,69.3,18.4,12.1,0.2
Allouez,MI,63.8,27.6,6.7,2.0
Alma,GA,76.4,19.15,4.4,0.1
Alma Center,WI,73.0,18.1,8.5,0.4
Almena,WI,80.8,10.9,8.1,0.2
Almyra,AR,76.4,15.3,7.7,0.6
Alpena,AR,78.5,11.1,10.2,0.2
Alpena,MI,76.8,15.8,6.9,0.5
Alpena,SD,73.2,11.9,14.9,0.0
Alpharetta,GA,83.1,11.5,5.2,0.1
Alpine,CA,77.3,14.8,7.7,0.2
Alpine,TN,74.4,14.8,10.7,0.1
Alston,GA,81.0,13.9,5.0,0.0
Altamont,NY,75.7,19.6,4.7,0.0
Alto,GA,77.9,14.6,7.2,0.3
Alto,NM,66.2,22.5,10.3,0.9
Altonah,UT,75.1,20.4,4.3,0.2
Altoona,FL,81.5,13.1,5.2,0.1
Altus,OK,65.1,29.2,5.7,0.1
Alva,OK,66.5,20.75,12.55,0.25
Alvo,NE,76.1,17.6,6.1,0.2
Amado,AZ,74.9,18.3,6.6,0.2
Amargosa Valley,NV,74.6,20.1,5.2,0.2
Amarillo,TX,78.30000000000001,14.95,6.65,0.15000000000000002
Amasa,MI,75.4,17.1,7.2,0.3
Amboy,WA,79.9,13.4,6.5,0.2
Amelia,NE,67.6,14.0,18.1,0.4
Amistad,NM,67.3,25.7,6.6,0.4
Amity,AR,71.9,16.3,11.5,0.3
Anaconda,MT,58.5,30.950000000000003,10.15,0.39999999999999997
Anamosa,IA,77.6,12.7,9.5,0.2
Anawalt,WV,66.4,30.8,2.7,0.0
Anchorage,AK,73.3,20.9,5.7,0.1
Andalusia,AL,75.8,17.4,6.550000000000001,0.25
Anderson,SC,81.2,13.1,5.5,0.2
Andersonville,GA,71.5,22.1,6.4,0.0
Andrews,NC,75.7,13.2,11.0,0.1
Andrews,TX,83.1,9.6,6.8,0.5
Angela,MT,63.5,28.8,7.0,0.8
Angola,LA,60.1,33.8,5.9,0.2
Angoon,AK,53.5,30.9,15.6,0.0
Angora,NE,67.2,20.8,11.8,0.2
Animas,NM,69.0,26.1,4.2,0.7
Annabella,UT,71.9,21.0,5.6,1.5
Annapolis,MO,76.3,19.4,4.0,0.2
Anniston,AL,74.1,20.8,5.0,0.1
Antigo,WI,81.6,11.7,6.3,0.4
Apache,OK,67.2,25.1,7.7,0.1
Appleton City,MO,73.6,16.3,9.1,1.1
Arab,AL,78.0,14.8,7.1,0.1
Aragon,NM,50.3,39.7,8.3,1.7
Aransas Pass,TX,75.4,12.4,12.2,0.1
Arapahoe,NC,73.7,18.7,6.7,0.9
Arapahoe,NE,67.6,16.7,15.1,0.6
Arcadia,FL,80.5,14.7,4.8,0.0
Arcadia,LA,70.8,23.8,5.4,0.0
Arcadia,NE,68.8,16.4,14.6,0.2
Arcanum,OH,82.75,11.4,5.65,0.2
Arco,ID,64.6,27.9,7.4,0.1
Arcola,IL,76.4,15.0,8.4,0.2
Ardenvoir,WA,76.8,16.0,6.9,0.2
Ardmore,OK,69.6,23.2,6.9,0.2
Arena,WI,76.5,13.7,9.4,0.4
Arkadelphia,AR,73.1,21.2,5.3,0.3
Arlington,KY,73.2,17.7,9.0,0.2
Arlington,NE,79.6,13.5,6.7,0.2
Arlington,OR,67.7,24.4,7.5,0.4
Arlington,TX,83.1,11.4,5.4,0.1
Arlington,VA,70.1,25.35,4.5,0.05
Armagh,PA,78.4,14.7,6.7,0.2
Armour,SD,68.5,12.8,18.4,0.3
Armstrong,TX,51.9,48.1,0.0,0.0
Arnett,WV,75.4,20.7,3.7,0.1
Arnold,CA,57.4,32.8,9.8,0.0
Arnold,KS,60.2,22.1,17.5,0.2
Arnold,NE,71.7,12.3,15.5,0.5
Arpin,WI,83.5,10.8,5.5,0.2
Arroyo,PR,62.7,30.5,6.9,0.0
Artemus,KY,77.0,17.9,4.6,0.4
Ash,NC,78.0,13.6,8.1,0.2
Ash Grove,MO,80.45,12.25,7.050000000000001,0.25
Ashburn,GA,71.65,23.4,4.95,0.05
Ashburnham,MA,81.2,13.1,5.5,0.2
Ashford,WV,77.7,17.8,4.5,0.0
Ashland,AL,77.5,14.7,7.8,0.0
Ashland,IL,78.5,14.3,7.2,0.0
Ashland,KY,80.3,14.5,5.0,0.3
Ashland,MA,82.8,10.7,6.5,0.1
Ashley,ND,74.8,11.7,10.9,2.6
Aspen,CO,80.5,9.4,9.8,0.2
Assaria,KS,83.0,10.5,6.3,0.3
Astoria,NY,79.9,13.6,6.4,0.1
Atchison,KS,80.1,13.5,6.0,0.4
Athens,AL,77.9,16.4,5.5,0.2
Athens,GA,69.6,26.0,4.3,0.1
Athens,TN,83.0,11.5,5.5,0.0
Atkins,AR,76.5,16.9,6.4,0.2
Atlanta,MI,77.3,13.8,8.7,0.2
Atlantic,VA,73.2,18.6,7.7,0.5
Atlantic City,NJ,79.6,15.5,4.7,0.2
Attleboro,MA,81.8,13.3,4.9,0.1
Atwood,TN,76.3,16.2,7.3,0.1
Au Gres,MI,80.7,11.2,7.9,0.2
Auburn,AL,77.6,17.7,4.6,0.1
Auburn,KY,80.9,10.7,8.2,0.2
Auburn,WV,76.3,20.2,3.5,0.0
Auburntown,TN,75.0,14.0,10.8,0.2
Audubon,MN,74.3,16.4,9.0,0.3
Augusta,GA,74.5,21.1,4.2,0.15000000000000002
Augusta,KY,77.9,15.3,6.9,0.0
Augusta,MO,87.1,8.6,4.1,0.1
Aurora,CO,83.6,11.3,5.0,0.1
Aurora,MO,78.2,11.6,10.2,0.0
Austin,NV,82.3,13.2,4.5,0.0
Austin,PA,80.8,13.2,5.6,0.4
Austin,TX,76.5,16.0,7.4,0.2
Austinburg,OH,84.5,10.4,5.0,0.1
Austinville,VA,74.7,16.0,9.1,0.2
Autaugaville,AL,73.6,20.9,5.5,0.0
Avera,GA,68.6,24.2,7.1,0.1
Avinger,TX,76.0,15.9,8.1,0.0
Avoca,TX,68.7,20.5,10.3,0.5
Avondale,CO,76.6,18.7,4.5,0.2
Axtell,TX,70.4,21.65,7.9,0.05
Axton,VA,81.7,13.8,4.3,0.1
Azle,TX,76.9,14.9,8.1,0.1
Bainbridge,NY,70.2,21.4,8.0,0.5
Bajadero,PR,67.5,25.0,7.4,0.2
Baker,MT,64.7,19.8,14.0,1.5
Baker City,OR,71.2,19.1,9.5,0.3
Bakersfield,CA,76.3,17.2,6.2,0.2
Bakersfield,MO,76.2,13.6,9.9,0.3
Baldwin,IA,85.2,9.5,5.0,0.3
Baldwyn,MS,83.2,12.3,4.4,0.1
Balko,OK,73.3,17.2,9.3,0.2
Ball Ground,GA,83.5,10.7,5.5,0.3
Baltic,OH,81.3,5.8,12.3,0.7
Baltimore,MD,76.4,20.1,3.4,0.1
Bandana,KY,79.9,11.7,8.4,0.0
Banks,AL,75.8,18.7,5.5,0.1
Barceloneta,PR,65.6,29.1,5.2,0.0
Barksdale,TX,57.2,23.0,19.7,0.0
Barnesville,GA,76.3,18.3,5.4,0.1
Barnesville,MN,71.6,15.9,11.7,0.8
Barnhart,MO,84.6,10.3,5.0,0.2
Barnum,IA,78.0,13.4,8.4,0.2
Barranquitas,PR,65.2,26.2,8.6,0.0
Bartlett,TX,78.9,14.9,6.0,0.1
Barton,NY,80.1,14.9,4.9,0.2
Bartow,GA,74.5,18.8,6.2,0.5
Basehor,KS,69.7,25.6,4.7,0.0
Basile,LA,82.4,10.6,7.0,0.0
Bassett,AR,75.5,18.0,6.4,0.0
Batavia,NY,76.6,18.0,5.2,0.2
Bates,OR,57.7,29.3,12.4,0.6
Batesburg,SC,78.5,13.8,6.6,1.2
Batesville,IN,83.1,11.6,5.2,0.1
Bath,IL,74.1,16.2,9.7,0.0
Bath Springs,TN,63.7,25.1,11.1,0.2
Battle Creek,NE,80.6,12.0,7.2,0.1
Battle Ground,IN,81.6,12.5,5.8,0.2
Battle Mountain,NV,57.9,33.8,8.3,0.0
Bauxite,AR,76.4,18.4,5.0,0.2
Bay City,MI,83.9,11.0,5.0,0.1
Bay City,TX,77.4,15.6,7.0,0.0
Bay Port,MI,79.8,11.1,8.7,0.4
Bayamon,PR,70.9,20.8,8.2,0.2
Bayport,NY,77.1,18.1,4.7,0.1
Beach,ND,64.1,17.8,14.2,3.8
Beach Haven,NJ,78.0,16.3,5.4,0.2
Bealeton,VA,73.0,20.0,6.7,0.3
Bear Creek,NC,73.0,17.8,9.1,0.2
Beattyville,KY,65.6,30.8,3.7,0.0
Beaufort,SC,79.0,14.6,6.2,0.2
Beaumont,KY,70.5,14.9,13.8,0.9
