City,State,Income,IncomeErr,IncomePerCap,IncomePerCapErr
Aberdeen,WA,43538.0,1652.0,22387.0,757.0
Abilene,TX,45396.0,1528.0,23896.0,744.0
Abingdon,MD,80465.0,1153.0,35746.0,520.0
Abingdon,VA,43310.0,1910.0,25351.0,968.0
Adams Run,SC,54901.0,1488.0,25223.0,776.0
Addison,ME,38083.0,1141.0,21977.0,969.0
Addison,PA,44587.0,1459.0,22980.0,597.0
Adena,OH,43833.0,1491.0,23684.0,711.0
Adger,AL,35843.0,1700.0,20166.0,635.0
Adjuntas,PR,10499.0,1326.0,7270.0,695.0
Adrian,MI,48043.0,1244.0,23252.0,457.0
Adrian,TX,50893.0,11047.0,23452.0,6306.0
Afton,TX,39700.0,4253.0,20659.0,2919.0
Afton,WY,66647.0,5160.0,29915.0,2016.0
Aguada,PR,16648.0,1089.5,9381.0,469.0
Aguadilla,PR,15707.0,825.0,8371.0,568.0
Aguas Buenas,PR,14824.0,1256.0,8441.0,1431.0
Aguirre,PR,15240.0,1454.0,8286.0,424.0
Aiken,SC,34336.0,3102.0,19026.0,1270.0
Akron,AL,32714.0,2373.0,18877.0,1217.0
Akron,IN,45184.0,2384.0,21745.0,1212.0
Akutan,AK,61518.0,2684.0,28608.0,1895.0
Alamo,TN,35464.0,2377.0,19178.0,1282.0
Alamogordo,NM,39775.0,1700.0,19457.0,711.0
Alamosa,CO,39672.0,4196.0,22269.0,1747.0
Albany,GA,45972.666666666664,4803.333333333333,22652.333333333332,1858.3333333333333
Albany,KY,28025.0,2629.0,16712.0,1273.0
Albany,MN,56336.0,975.0,27135.0,487.0
Albany,OH,37813.0,2108.0,19999.0,970.0
Albany,OR,49802.0,1596.0,27888.0,764.0
Albion,NE,50306.0,3055.0,27799.0,1872.0
Albrightsville,PA,49973.0,1462.0,25398.0,1109.0
Albuquerque,NM,47725.0,789.0,26765.0,356.0
Alexander,IA,48605.0,2080.0,25417.0,1472.0
Alexander City,AL,53555.0,1980.0,24381.0,941.0
Alexandria,KY,54621.0,1722.0,28248.0,782.0
Alexandria,NE,45741.0,1512.0,29120.0,4308.0
Alice,TX,33939.0,5080.0,20752.0,2417.0
Aliceville,AL,19501.0,2420.0,12887.0,809.0
Alix,AR,39285.0,1922.0,19550.0,1205.0
Alleghany,CA,42833.0,8464.0,29986.0,5447.0
Allen,TX,84735.0,1217.0,38883.0,427.0
Allendale,IL,40841.0,2772.0,14468.0,4129.0
Allenhurst,GA,48863.0,4807.0,18166.0,1177.0
Alleyton,TX,46618.0,2516.0,25578.0,2021.0
Alliance,NE,41985.0,2132.0,23734.0,1766.0
Allison,TX,52221.0,3197.0,26184.0,1837.0
Allouez,MI,37813.0,4009.0,24384.0,2719.0
Alma,GA,36773.5,2988.0,18397.5,1340.0
Alma Center,WI,47851.0,2402.0,23299.0,668.0
Almena,WI,45714.0,1117.0,23852.0,587.0
Almyra,AR,36411.0,2766.0,22473.0,1756.0
Alpena,AR,36897.0,2308.0,20195.0,1225.0
Alpena,MI,41213.0,1240.0,23550.0,815.0
Alpena,SD,53125.0,5756.0,34277.0,5655.0
Alpharetta,GA,57207.0,835.0,37926.0,541.0
Alpine,CA,64309.0,514.0,31266.0,197.0
Alpine,TN,35287.0,1635.0,19244.0,1220.0
Alston,GA,34672.0,2095.0,17402.0,1129.0
Altamont,NY,58114.0,1661.0,28902.0,610.0
Alto,GA,40907.0,2152.0,19026.0,754.0
Alto,NM,40708.0,2502.0,25756.0,2211.0
Altonah,UT,61133.0,2017.0,23576.0,794.0
Altoona,FL,46403.0,1069.0,24236.0,514.0
Altus,OK,41560.0,2135.0,21923.0,1265.0
Alva,OK,52735.5,3057.0,27466.5,3193.5
Alvo,NE,65619.0,2581.0,30694.0,1169.0
Amado,AZ,46162.0,620.0,25729.0,261.0
Amargosa Valley,NV,41712.0,1666.0,23085.0,1091.0
Amarillo,TX,49565.5,1571.0,25381.5,799.5
Amasa,MI,33663.0,1724.0,21725.0,927.0
Amboy,WA,60756.0,842.0,28801.0,335.0
Amelia,NE,46728.0,2834.0,25672.0,1506.0
Amistad,NM,36070.0,2676.0,21705.0,3733.0
Amity,AR,33097.0,2443.0,19294.0,1051.0
Anaconda,MT,43955.5,4901.5,25146.0,2283.0
Anamosa,IA,55060.0,2891.0,26937.0,1515.0
Anawalt,WV,24921.0,1590.0,14874.0,891.0
Anchorage,AK,78326.0,1872.0,36920.0,758.0
Andalusia,AL,34387.0,1941.0,19011.0,785.5
Anderson,SC,42143.0,1065.0,22400.0,499.0
Andersonville,GA,28684.0,3453.0,13431.0,1003.0
Andrews,NC,34662.0,2096.0,18787.0,977.0
Andrews,TX,70423.0,6038.0,29423.0,2327.0
Angela,MT,51159.0,5884.0,23238.0,1073.0
Angola,LA,56685.0,12161.0,22122.0,2017.0
Angoon,AK,52419.0,7157.0,30943.0,3265.0
Angora,NE,45910.0,2585.0,24869.0,2175.0
Animas,NM,34444.0,4574.0,18871.0,1700.0
Annabella,UT,46291.0,2800.0,19261.0,842.0
Annapolis,MO,35097.0,4993.0,17179.0,1031.0
Anniston,AL,41703.0,925.0,21374.0,489.0
Antigo,WI,41775.0,2442.0,23857.0,812.0
Apache,OK,40674.0,1790.0,20003.0,980.0
Appleton City,MO,32046.0,1490.0,18840.0,1218.0
Arab,AL,38983.0,1262.0,21363.0,676.0
Aragon,NM,42973.0,5065.0,20685.0,2724.0
Aransas Pass,TX,41690.0,3678.0,28472.0,2723.0
Arapahoe,NC,43444.0,2113.0,24176.0,1062.0
Arapahoe,NE,39934.0,2282.0,22769.0,1091.0
Arcadia,FL,35165.0,2072.0,16441.0,1103.0
Arcadia,LA,32072.0,2317.0,17547.0,1346.0
Arcadia,NE,44612.0,5190.0,25951.0,1683.0
Arcanum,OH,49693.5,1595.5,24867.0,805.5
Arco,ID,37891.0,6713.0,21982.0,3013.0
Arcola,IL,51810.0,2087.0,25455.0,1166.0
Ardenvoir,WA,51837.0,1886.0,25564.0,852.0
Ardmore,OK,38776.0,3469.0,20425.0,1254.0
Arena,WI,55188.0,2200.0,27664.0,879.0
Arkadelphia,AR,35031.0,2501.0,19555.0,1106.0
Arlington,KY,38829.0,2775.0,21499.0,1393.0
Arlington,NE,65370.0,2817.0,31151.0,1394.0
Arlington,OR,44293.0,4106.0,25227.0,2869.0
Arlington,TX,58711.0,488.0,29058.0,254.0
Arlington,VA,97448.5,2512.5,59220.0,1223.5
Armagh,PA,45195.0,1339.0,23450.0,774.0
Armour,SD,52500.0,3625.0,29235.0,2424.0
Armstrong,TX,36438.0,10695.0,14251.0,3914.0
Arnett,WV,41032.0,1673.0,22405.0,807.0
Arnold,CA,52917.0,13603.0,21415.0,3057.0
Arnold,KS,44904.0,3073.0,29968.0,2562.0
Arnold,NE,46468.0,3066.0,29406.0,3572.0
Arpin,WI,48961.0,1413.0,26516.0,667.0
Arroyo,PR,15298.0,1594.0,7562.0,842.0
Artemus,KY,26599.0,2214.0,15599.0,1115.0
Ash,NC,46859.0,1715.0,27586.0,1126.0
Ash Grove,MO,40912.0,1337.5,21802.5,644.5
Ashburn,GA,34729.5,3496.0,19152.5,2207.0
Ashburnham,MA,65313.0,682.0,32284.0,309.0
Ashford,WV,39958.0,2871.0,21387.0,1337.0
Ashland,AL,35327.0,4517.0,18905.0,1067.0
Ashland,IL,47434.0,3013.0,24262.0,959.0
Ashland,KY,42319.0,2715.0,25745.0,2632.0
Ashland,MA,85118.0,757.0,44152.0,368.0
Ashley,ND,53750.0,3496.0,27825.0,1700.0
Aspen,CO,71196.0,11001.0,55519.0,8780.0
Assaria,KS,47801.0,1835.0,25641.0,1030.0
Astoria,NY,57720.0,552.0,26876.0,165.0
Atchison,KS,43581.0,3090.0,21677.0,2230.0
Athens,AL,49570.0,1409.0,25569.0,1111.0
Athens,GA,32162.0,1188.0,19276.0,542.0
Athens,TN,38535.0,2764.0,20215.0,1194.0
Atkins,AR,37732.0,3753.0,21897.0,1290.0
Atlanta,MI,36250.0,1815.0,20771.0,945.0
Atlantic,VA,39412.0,2723.0,23231.0,1427.0
Atlantic City,NJ,54461.0,1324.0,28005.0,483.0
Attleboro,MA,56842.0,935.0,29607.0,343.0
Atwood,TN,35508.0,2811.0,19086.0,1123.0
Au Gres,MI,38307.0,1629.0,21197.0,737.0
Auburn,AL,31338.0,3988.5,17477.0,1376.5
Auburn,KY,39679.0,3954.0,19397.0,982.0
Auburn,WV,37636.0,4790.0,19632.0,1102.0
