City,State,Professional,Service,Office,Construction,Production
Aberdeen,WA,25.0,24.9,23.1,11.8,15.1
Abilene,TX,30.3,21.9,25.8,11.1,10.9
Abingdon,MD,42.4,14.7,25.0,8.6,9.3
Abingdon,VA,34.4,17.1,24.8,7.3,16.4
Adams Run,SC,34.5,16.7,26.1,10.5,12.3
Addison,ME,28.1,21.3,18.8,18.1,13.7
Addison,PA,28.2,19.1,21.6,12.7,18.3
Adena,OH,26.4,19.9,23.7,14.6,15.3
Adger,AL,25.4,17.6,25.3,14.2,17.6
Adjuntas,PR,34.3,18.1,21.7,12.9,13.1
Adrian,MI,28.0,19.5,24.1,9.5,18.9
Adrian,TX,39.2,19.3,19.7,11.5,10.3
Afton,TX,41.5,15.6,16.9,19.0,7.0
Afton,WY,30.6,16.4,19.9,20.7,12.3
Aguada,PR,61.1,45.8,51.2,22.1,19.9
Aguadilla,PR,28.4,20.3,29.6,13.6,8.1
Aguas Buenas,PR,26.2,16.5,27.3,16.0,14.0
Aguirre,PR,23.2,27.9,22.2,15.1,11.6
Aiken,SC,26.7,18.3,21.6,13.0,20.4
Akron,AL,25.5,16.7,24.4,12.2,21.3
Akron,IN,24.7,18.9,19.4,10.9,26.2
Akutan,AK,13.6,9.4,7.2,14.2,55.6
Alamo,TN,28.4,14.4,22.0,13.1,22.1
Alamogordo,NM,25.2,25.9,26.0,15.4,7.4
Alamosa,CO,29.0,19.9,23.0,17.8,10.3
Albany,GA,97.7,48.9,77.69999999999999,35.099999999999994,40.699999999999996
Albany,KY,24.7,17.1,20.5,9.8,27.9
Albany,MN,31.9,18.6,24.4,9.3,15.8
Albany,OH,26.8,18.6,21.9,13.8,18.9
Albany,OR,49.4,18.7,18.1,6.6,7.3
Albion,NE,35.6,17.5,18.5,16.1,12.3
Albrightsville,PA,27.2,18.9,22.6,12.2,19.0
Albuquerque,NM,40.3,19.9,23.5,8.6,7.8
Alexander,IA,30.4,17.2,18.2,14.3,19.9
Alexander City,AL,33.3,16.0,25.2,9.6,15.9
Alexandria,KY,38.3,15.7,26.9,7.7,11.5
Alexandria,NE,35.4,17.0,21.1,11.9,14.6
Alice,TX,18.1,24.4,21.9,22.9,12.6
Aliceville,AL,23.8,29.9,19.7,7.1,19.6
Alix,AR,26.0,18.3,22.0,12.2,21.6
Alleghany,CA,33.9,11.8,18.2,17.8,18.3
Allen,TX,52.1,11.8,25.2,5.2,5.7
