City,State,Mean,Median,Stdev
Abbeville,AL,40518.0,25216.0,39126.0
Abbeville,LA,30647.0,25628.333333333332,21177.666666666668
Abbeville,SC,45585.666666666664,32245.0,41647.333333333336
Abbotsford,WI,58254.0,44919.0,48933.0
Aberdeen,MD,96480.0,80370.0,64102.0
Aberdeen,MS,38756.0,24564.0,37947.0
Aberdeen,NC,71839.0,61786.0,54687.0
Aberdeen,NJ,101598.0,98132.0,59812.0
Aberdeen,SD,55044.0,47793.333333333336,40433.0
Aberdeen,WA,72647.0,80209.0,46242.0
Abilene,KS,52631.0,41416.5,44319.5
Abilene,TX,51258.92307692308,79425.53846153847,38462.769230769234
Abingdon,IL,86393.0,185929.5,52039.5
Abingdon,MD,109797.0,300000.0,57646.5
Abingdon,VA,60952.5,47182.5,54058.0
Abington,MA,122831.0,300000.0,55209.0
Abington,PA,71090.0,300000.0,44183.0
Absecon,NJ,82679.5,70219.0,57525.0
Accokeek,MD,117700.0,110583.0,64941.0
Accomac,VA,47414.0,34691.0,39440.0
Accord,NY,86425.0,54763.0,76014.0
Accoville,WV,47260.0,34486.0,38659.0
Ackerman,MS,53229.0,38470.0,41154.0
Acme,WA,17499.0,300000.0,1826.0
Acton,MA,118890.0,124665.0,73967.0
Acworth,GA,89157.0,120652.8,54879.4
Ada,OK,42968.0,34875.333333333336,35990.666666666664
Adair,OK,57099.5,52940.5,36681.5
Adairsville,GA,53935.0,55242.0,37762.0
Adairville,KY,41098.0,32184.0,34451.0
Adams,MA,51301.0,35394.0,39972.0
Adams,ND,73519.0,57151.0,59512.0
Adams,NY,54499.0,37697.0,48943.0
Adamsville,AL,53383.0,47460.0,34172.0
Adamsville,TN,61902.333333333336,128953.33333333333,50937.666666666664
Addison,IL,75830.6,111801.8,55306.2
Addison,MI,55590.0,51816.5,33171.0
Addison,NY,59306.0,46156.0,47761.0
Addison,TX,81139.0,70948.0,47729.0
Addison,VT,97158.0,82938.0,68250.0
Adel,GA,42055.333333333336,27821.666666666668,39989.0
Adel,IA,64412.5,54739.0,55067.5
Adelanto,CA,36944.0,17430.0,34598.0
Adelphi,MD,92036.0,73008.0,66321.0
Adena,OH,51340.5,48046.5,37181.5
Adjuntas,PR,19255.0,11551.75,22627.75
Adrian,GA,42704.0,40253.0,32149.0
Adrian,MI,64883.4,203089.4,44075.6
Adrian,MN,58690.0,47881.0,46828.0
Adrian,TX,71688.0,50239.5,70619.5
Advance,NC,96650.0,60938.0,84167.0
Afton,IA,55255.0,44131.0,47436.0
Afton,OK,48103.0,37051.0,40996.0
Afton,WY,75603.0,65484.5,46545.0
Agawam,MA,64780.0,57281.0,45370.0
Agoura,CA,140704.0,300000.0,58244.0
Agoura Hills,CA,182475.0,300000.0,67315.0
Agra,KS,59451.0,43787.0,52525.0
Agua Dulce,CA,91975.0,58769.0,86857.0
Aguada,PR,15078.4,11323.6,12503.6
Aguadilla,PR,26461.285714285714,13693.42857142857,33250.71428571428
Aguanga,CA,64425.0,69282.0,33988.0
Aguas Buenas,PR,22111.25,13532.0,28044.0
Aguilar,CO,55886.0,38235.0,46317.0
Ahoskie,NC,51360.0,41196.0,42486.0
Aibonito,PR,23915.5,16304.5,20945.0
Aiea,HI,86804.0,162937.33333333334,57607.333333333336
Aiken,SC,68318.0,117242.71428571429,52306.28571428572
Ailey,GA,54820.0,43081.5,47288.5
Ainsworth,IA,66555.5,187771.5,36802.0
Aitkin,MN,53095.5,43621.0,42634.5
Ajo,AZ,48950.0,30239.5,46654.5
Akron,CO,54593.0,46232.0,40354.0
Akron,IA,45577.0,35640.0,38593.0
Akron,IN,56631.0,46654.0,43956.0
Akron,NY,83050.5,174013.0,31760.5
Akron,OH,51568.142857142855,50195.68571428571,38406.74285714285
Alabaster,AL,81118.33333333333,149711.33333333334,50207.666666666664
Alachua,FL,78442.5,65954.5,53124.0
Alakanuk,AK,40008.0,33347.0,32543.0
Alameda,CA,89726.375,72782.25,71335.125
Alamo,GA,26751.0,16529.0,25468.0
Alamo,NV,51961.0,30901.0,43461.0
Alamogordo,NM,60712.4,98873.2,44507.4
Alamosa,CO,42143.0,25060.5,50316.5
Alba,MI,41510.0,36521.0,30096.0
Albany,CA,98633.0,300000.0,50866.0
Albany,GA,46413.53846153846,54255.46153846154,40806.61538461538
Albany,KY,37147.0,27359.0,30635.0
Albany,NY,56957.21428571428,131951.57142857142,39115.357142857145
Albany,OH,48376.0,38756.0,34799.0
Albany,OR,52950.0,49922.25,35298.5
Albany,TX,51581.0,50345.0,39442.0
Albemarle,NC,61027.666666666664,51923.0,49856.666666666664
Albert City,IA,58829.0,47820.0,46945.0
Albert Lea,MN,46557.666666666664,37826.333333333336,37940.0
Albertson,NY,181057.0,194521.0,69689.0
Albertville,AL,47199.5,160358.5,37759.0
Albia,IA,55573.0,46997.0,35901.0
Albion,IN,53543.0,48956.0,40984.0
Albion,MI,54296.5,46176.0,38126.0
Albion,NE,52167.5,41261.0,45137.0
Albion,NY,73450.0,66796.0,45665.0
Albion,PA,32761.0,29831.5,19737.0
Albrightsville,PA,48035.0,37088.0,39256.0
Albuquerque,NM,63773.38983050847,97945.81355932204,46159.627118644064
Alburtis,PA,75069.0,181404.0,46193.0
Alcoa,TN,48005.0,43268.0,32392.0
Aldan,PA,68553.0,57770.0,44823.5
Alden,MN,60491.0,51018.0,41217.0
Alden,NY,66095.0,58163.0,48979.0
Aldie,VA,115480.0,102170.5,72106.0
Aledo,IL,54015.0,46321.0,42342.0
Aledo,TX,139380.5,138240.5,72438.5
Alexander,ME,51979.0,41180.0,39672.0
Alexander,NY,64770.0,57765.0,40606.0
Alexander City,AL,40286.0,31306.0,39643.0
Alexandria,AL,36243.5,32017.0,22954.5
Alexandria,IN,58649.0,43911.0,46101.0
Alexandria,KY,94952.0,87871.0,64029.5
Alexandria,LA,61826.42857142857,70764.28571428571,33930.57142857143
Alexandria,MN,58920.5,46120.5,50923.5
Alexandria,PA,51431.0,41707.0,43590.0
Alexandria,SD,68512.0,60227.0,47928.0
Alexandria,VA,108140.59375,149468.9375,60584.5625
Alexis,IL,58087.0,40292.0,49785.0
Algoma,WI,63634.0,59493.0,40304.0
Algona,IA,60021.0,39470.0,48746.0
Algonac,MI,68706.0,62212.0,48644.0
Algonquin,IL,113415.0,104450.5,73084.5
Algood,TN,56134.0,46063.0,49408.0
Alhambra,CA,75486.22222222222,59440.11111111111,57842.77777777778
Alhambra,IL,76916.0,67163.0,57641.0
Alice,TX,53805.0,30317.5,47613.0
Aliceville,AL,31491.0,22086.0,31526.5
Aliquippa,PA,67456.0,57618.333333333336,48062.333333333336
Aliso Viejo,CA,90167.0,137931.5,48675.0
Allakaket,AK,33847.0,27223.0,21247.0
Allardt,TN,43209.0,37144.0,30731.0
Allegan,MI,50082.0,42435.0,33170.0
Allegany,NY,51080.0,46974.0,34161.0
Allen,KS,77801.0,61574.0,57098.0
Allen,NE,49860.0,49875.0,30076.0
Allen,OK,48249.0,41067.0,37509.0
Allen,TX,108175.6,181360.2,57907.2
Allen Park,MI,78132.33333333333,143506.66666666666,49816.0
Allendale,IN,61109.0,51831.0,57729.0
Allendale,MI,61596.666666666664,54368.333333333336,40657.666666666664
Allendale,NJ,120255.0,116804.0,92850.0
Allenton,WI,63765.0,62440.0,28802.0
Allentown,PA,50485.71428571428,40375.642857142855,42076.92857142857
Alliance,NE,69153.5,53840.0,50231.5
Alliance,OH,48708.2,40592.2,42345.4
Allison,IA,61836.0,51596.0,46923.5
Allison Park,PA,87885.0,80789.0,57816.0
Allston,MA,55446.666666666664,124598.0,48316.666666666664
Alma,GA,49250.0,43668.0,36163.0
Alma,MI,37066.0,26695.0,28634.0
Alma,MO,41073.0,39350.0,27579.0
Alma,NE,50204.5,41484.5,39320.0
Alma,WI,57353.5,43849.5,43605.5
Alma Center,WI,55828.0,50237.0,35541.0
Almena,WI,56654.0,47757.0,40319.0
Almond,NY,66769.0,53827.0,50719.0
Aloha,OR,71373.66666666667,57676.0,56898.0
Alpena,MI,54361.8,40435.4,46788.6
Alpharetta,GA,120771.77777777778,129578.88888888889,66102.55555555556
Alpine,CA,91662.0,79440.0,65636.0
Alpine,TX,55998.0,40928.0,48799.0
Alpine,UT,107855.66666666667,231276.33333333334,76017.66666666667
Alsip,IL,65765.66666666667,134739.0,42027.666666666664
Alta,CA,64090.666666666664,48971.0,53831.666666666664
Alta Loma,CA,98738.16666666667,89332.33333333333,62375.166666666664
Altadena,CA,88514.0,181586.5,62081.75
Altair,TX,49710.0,30273.0,54788.0
Altamont,IL,64828.0,300000.0,37233.0
Altamonte Springs,FL,70103.5,136964.0,51977.833333333336
Altenburg,MO,56746.0,52820.0,36569.0
Altheimer,AR,34661.0,26162.0,27608.0
Alto,TX,26825.0,21876.0,23910.0
Alton,IA,72202.0,70994.0,42653.0
Alton,IL,49696.0,40146.5,37189.5
Alton,MO,43568.0,39394.0,32166.0
Alton,NH,68661.0,64461.0,55084.0
Altoona,FL,38781.0,31944.0,32227.0
Altoona,PA,44474.125,31669.375,39547.625
Altoona,WI,65531.0,300000.0,36562.0
Altus,OK,46877.0,39024.0,34332.5
Alum Creek,WV,56057.0,41120.0,49592.0
Alva,FL,73064.0,57012.0,61800.0
Alvarado,TX,51252.0,44899.0,36730.0
Alvaton,KY,81386.0,64723.0,56018.0
Alvin,TX,71183.8,59529.4,53822.0
Alviso,CA,87293.0,76559.0,62990.0
Amagansett,NY,117900.0,101123.0,84082.0
Amanda,OH,55012.0,54878.0,29310.0
Amarillo,TX,64852.76,92547.04,41992.48
Amber,OK,62814.0,48740.0,52172.0
Ambler,PA,74566.0,56245.0,65439.0
Ambridge,PA,35321.0,21106.0,35825.0
Amelia,VA,34802.0,18904.0,33931.0
Amenia,NY,85664.0,178024.0,66479.5
American Fork,UT,86985.0,142074.0,53847.666666666664
Americus,GA,40788.4,25832.2,41935.2
Amery,WI,55247.0,37228.0,36505.0
Ames,IA,60589.8,55986.0,43101.4
Amesbury,MA,76628.5,69529.0,48573.0
Amherst,MA,85645.33333333333,137590.0,60456.333333333336
Amherst,NH,109143.0,104111.0,66620.0
Amherst,NY,71701.16666666667,93968.66666666667,50407.166666666664
Amherst,OH,70810.0,58377.25,54063.5
Amherst,VA,62027.0,52156.0,44002.0
Amherst,WI,69770.5,57869.0,50730.5
Amite,LA,59469.0,48715.0,48098.0
Amityville,NY,93164.66666666667,142273.66666666666,51680.333333333336
Amory,MS,42272.666666666664,117338.33333333333,37272.333333333336
Amsterdam,NY,63133.0,113057.25,43693.25
Anaconda,MT,50159.333333333336,37548.666666666664,43152.666666666664
Anacortes,WA,71631.0,58905.5,53522.0
Anadarko,OK,59573.0,48251.0,51990.0
Anaheim,CA,72411.0,124430.61904761905,47667.47619047619
Anasco,PR,26944.333333333332,19881.666666666668,23642.333333333332
Anchorage,AK,89349.2,156128.44,55792.68
Andalusia,AL,48976.0,87525.0,40202.6
Anderson,AK,93374.0,300000.0,43837.0
Anderson,CA,56644.0,46877.0,37091.5
Anderson,IN,58048.125,70338.25,38080.75
Anderson,MO,47658.0,35626.0,45835.0
Anderson,SC,56014.333333333336,101354.44444444444,39923.77777777778
Anderson,TX,65452.0,53007.0,56682.0
Andersonville,TN,60811.0,44104.0,49849.0
Andover,CT,109190.0,300000.0,59267.0
Andover,KS,63761.0,50237.0,49027.0
Andover,MA,124116.0,300000.0,77270.5
Andover,MN,112636.66666666667,165349.33333333334,57152.666666666664
Andover,NY,55285.0,47207.0,42803.0
Andover,OH,60430.5,172956.0,41463.5
Andrews,NC,39213.0,34122.0,29278.0
Andrews,TX,77651.0,300000.0,57701.0
Angier,NC,58414.5,44027.5,46318.5
Angleton,TX,108019.0,300000.0,61531.0
Angola,IN,58261.0,50119.0,40637.0
Angola,LA,76372.0,300000.0,36506.0
Angola,NY,76462.0,68790.0,57090.0
Angwin,CA,79252.0,66968.0,49031.0
Animas,NM,27920.0,26630.0,25077.0
Ankeny,IA,90891.0,83104.66666666667,57168.0
Ann Arbor,MI,111892.9375,174064.75,68927.1875
Anna,IL,46722.0,36314.5,42142.0
Anna,OH,78428.0,300000.0,49991.0
Anna,TX,86134.0,77562.0,50154.0
Annandale,MN,80601.5,64370.0,58966.0
Annandale,VA,107036.0,98651.6,67529.2
Annapolis,MD,96814.85714285714,79964.42857142857,67503.85714285714
Anniston,AL,48101.5,36615.75,40381.0
Annville,PA,71904.0,60275.0,52031.0
Anoka,MN,74343.25,118640.0,50780.0
Ansley,NE,47672.0,32870.0,52488.0
Anson,TX,53912.0,43823.0,40485.0
Ansonia,CT,51121.5,41291.0,44717.0
Ansonia,OH,71912.0,172717.0,57610.5
Antelope,CA,71078.0,142482.0,47913.666666666664
Anthem,AZ,119672.66666666667,168441.33333333334,69765.66666666667
Anthon,IA,42507.0,36536.0,36260.0
Anthony,FL,36841.5,25521.0,34807.0
Anthony,NM,56005.333333333336,209274.33333333334,42307.666666666664
Anthony,TX,0.0,0.0,0.0
Antigo,WI,44335.5,34516.5,34618.5
Antioch,CA,60612.5,87696.0,46514.166666666664
Antioch,IL,89803.5,80706.0,59872.0
Antioch,TN,60873.166666666664,45683.5,46455.0
Anton Chico,NM,33976.0,162073.5,26629.5
Antrim,NH,72228.0,65483.0,51697.0
Anza,CA,67770.0,300000.0,41258.0
Apache,OK,64547.0,41128.0,54683.0
Apache Junction,AZ,54092.666666666664,122305.66666666667,42633.333333333336
Apalachicola,FL,54845.0,56171.0,43108.0
Apalachin,NY,78790.0,63975.0,56240.333333333336
Apex,NC,113786.5,208028.0,67632.0
Apison,TN,113344.0,104990.0,66264.0
Apopka,FL,56894.833333333336,43891.5,49115.666666666664
Appalachia,VA,28705.0,21512.0,29530.0
Apple Valley,CA,62031.4,148026.0,43856.6
Apple Valley,MN,105910.33333333333,162571.0,60783.166666666664
Appleton,MN,47820.333333333336,38720.666666666664,34843.666666666664
Appleton,WI,70830.27272727272,62299.72727272727,48297.36363636364
Appomattox,VA,54858.0,135889.66666666666,42688.333333333336
Aptos,CA,72422.4,112938.6,46499.0
Arab,AL,58478.0,300000.0,38954.0
Arabi,LA,47335.0,43658.0,32697.0
Aransas Pass,TX,38667.666666666664,29776.0,35096.0
Arapaho,OK,46225.5,174080.0,41183.0
Arapahoe,NC,58334.0,48355.0,40139.0
Arapahoe,NE,47478.5,37517.5,34288.5
Ararat,VA,38022.0,43495.0,27010.0
Arbor Vitae,WI,65643.0,41430.0,61245.0
Arcade,NY,57819.0,300000.0,38172.0
Arcadia,CA,82843.6,111776.0,56252.8
Arcadia,FL,48594.333333333336,126342.33333333333,33864.333333333336
Arcadia,IN,74259.0,82908.0,37504.0
Arcadia,LA,19998.0,13636.0,19033.0
Arcadia,OH,47648.0,37583.0,31183.0
Arcanum,OH,45107.0,46876.0,23315.0
Arcata,CA,40289.0,28788.0,34802.0
Archbald,PA,67348.0,59401.0,49717.0
Archer,FL,86873.0,70501.0,66765.0
Arden,NC,85641.0,69581.0,58367.0
Ardmore,OK,51154.4,41381.8,46524.6
Ardmore,PA,141529.33333333334,217328.0,72893.66666666667
Ardmore,TN,46603.0,36690.0,39282.0
Ardsley,NY,150582.33333333334,216070.66666666666,86022.66666666667
Arecibo,PR,21958.777777777777,15745.888888888889,20560.0
Argenta,IL,65276.0,60270.0,43851.0
Argillite,KY,49371.0,43241.0,39802.0
Argonia,KS,51200.0,300000.0,30165.0
Argos,IN,59314.0,47868.0,46323.0
Argyle,TX,149017.0,228007.5,76143.0
Argyle,WI,51676.5,45394.5,36066.0
Arkadelphia,AR,15984.0,9618.0,18373.0
Arkansas City,KS,46179.333333333336,37196.333333333336,36927.0
Arlee,MT,67157.0,55306.0,56862.0
Arleta,CA,68519.0,64298.5,44254.0
Arley,AL,49046.0,36818.0,42393.0
Arlington,GA,45609.0,18746.0,62973.0
Arlington,IA,53482.0,41903.0,45318.0
Arlington,IN,55369.0,44693.0,37266.0
Arlington,MA,123628.83333333333,170922.16666666666,75983.83333333333
Arlington,NE,77179.0,62428.0,58501.0
Arlington,OH,83218.0,59455.0,57730.0
Arlington,SD,29141.0,21157.0,20347.0
Arlington,TN,100669.33333333333,167917.66666666666,56874.0
Arlington,TX,69631.29166666667,88018.33333333333,47547.916666666664
Arlington,VA,120821.46153846153,144748.07692307694,69536.07692307692
Arlington,WA,78008.0,134394.66666666666,49186.333333333336
Arlington Heights,IL,114682.75,145228.5,70290.5
Arnold,MD,117882.0,109882.5,72937.0
Arnold,MO,77710.0,221371.33333333334,49321.666666666664
Arnold,PA,40393.0,33316.0,30675.0
Arock,OR,52972.0,38138.0,47313.0
Arp,TX,48064.0,124901.66666666667,34591.666666666664
Arroyo,PR,20629.0,18049.0,14292.0
Arroyo Grande,CA,76230.66666666667,139652.66666666666,62753.666666666664
Arroyo Hondo,NM,39577.0,30782.0,33888.0
Artesia,CA,76899.0,63793.0,60657.5
Artesia,NM,49039.666666666664,121597.33333333333,29544.666666666668
Arvada,CO,74636.66666666667,80163.0,50670.0
Arverne,NY,84274.5,66938.5,69088.0
Arvin,CA,53026.0,38595.0,42781.0
Asbury Park,NJ,61325.5,101498.0,51930.25
Ascutney,VT,45282.0,39030.0,28279.0
Ash,NC,50636.0,37077.333333333336,44409.0
Ashaway,RI,64346.0,300000.0,55038.0
Ashburg,VA,181788.0,196717.0,70759.0
Ashburn,GA,65249.0,300000.0,37557.0
Ashburn,VA,151125.77777777778,209025.33333333334,65462.77777777778
Ashby,MA,85750.0,84920.0,52538.0
Ashdown,AR,58602.0,36129.5,55889.5
Asheboro,NC,46651.5,35505.75,38842.75
Asheville,NC,60457.1,95030.6,47883.0
Ashfield,MA,79780.0,62524.0,60828.0
Ashford,AL,54235.0,42227.0,43566.0
Ashford,WA,60258.0,51069.0,48525.0
Ashland,AL,44628.0,35064.0,33198.0
Ashland,KY,55000.333333333336,43936.666666666664,49076.666666666664
Ashland,MA,80009.0,300000.0,71706.0
Ashland,ME,49466.5,38934.0,38953.0
Ashland,MO,69216.0,62456.0,47910.0
Ashland,MS,56738.0,41770.0,50447.0
Ashland,OH,52144.333333333336,84089.16666666667,38406.333333333336
Ashland,OR,77999.0,144948.0,58206.666666666664
Ashland,PA,56110.0,51047.5,40856.5
Ashland,VA,54627.0,300000.0,40378.0
Ashland,WI,43699.0,31905.0,42412.0
Ashley,MI,49994.0,39123.0,39430.0
Ashmore,IL,59163.0,53926.0,45135.0
Ashtabula,OH,45939.5,38810.75,38476.75
Ashville,AL,55128.0,44569.0,47377.0
Ashville,OH,73807.0,300000.0,27778.0
Aspen,CO,80365.0,62911.0,58239.0
Aspermont,TX,45593.0,31956.0,48003.0
Astatula,FL,66121.0,57072.0,45441.0
Aston,PA,65714.5,52244.0,51820.0
Astoria,NY,68954.66666666667,56106.5,56166.833333333336
Astoria,OR,57163.5,48724.5,43931.0
Atascadero,CA,62049.0,50174.0,43619.5
Atchison,KS,48325.0,39620.0,41246.5
Atco,NJ,79064.5,180646.0,52353.5
Atglen,PA,82952.0,66790.0,59048.0
Athens,AL,62876.75,51163.25,44591.25
Athens,GA,57656.6,45459.2,48003.6
Athens,NY,64586.0,50870.5,49466.5
Athens,OH,55136.75,40613.25,55470.5
Athens,PA,62150.0,49479.5,50998.0
Athens,TN,43723.5,32686.0,36384.0
Athens,TX,40995.0,34315.0,35280.0
Athens,WI,70293.0,64319.0,42251.0
Athens,WV,55137.0,47111.0,38398.0
Atherton,CA,149965.0,158571.5,78073.5
Athol,ID,66918.0,42423.0,73101.0
Athol,MA,52016.0,44592.0,37081.0
Atkins,IA,70506.0,64833.0,43016.0
Atkinson,IL,57867.0,46830.0,58833.0
Atlanta,GA,76480.66129032258,74091.5,55154.62903225807
Atlanta,IL,62126.0,58023.0,36110.0
Atlanta,MI,32140.0,24072.0,29473.0
Atlantic,IA,54432.0,37432.0,39673.0
Atlantic,NC,0.0,0.0,0.0
Atlantic Beach,FL,41673.0,33570.0,29504.5
