index,City,State,population,minimum_age_x,minimum_age_y
0,Aaronsburg,PA,52888,0.0,80.0
1,Abbeville,AL,289564,0.0,80.0
2,Abbeville,GA,208956,0.0,80.0
3,Abbeville,LA,1092520,0.0,80.0
4,Abbeville,MS,103532,0.0,80.0
5,Abbeville,SC,557876,0.0,80.0
6,Abbot,ME,35508,0.0,80.0
7,Abbotsford,WI,127600,0.0,80.0
8,Abbott,TX,45012,0.0,80.0
9,Abbottstown,PA,175780,0.0,80.0
10,Abbyville,KS,12232,0.0,80.0
11,Abell,MD,18524,0.0,80.0
12,Abercrombie,ND,2420,0.0,80.0
13,Aberdeen,ID,149600,0.0,80.0
14,Aberdeen,MD,930952,0.0,80.0
15,Aberdeen,MS,508772,0.0,80.0
16,Aberdeen,NC,504592,0.0,80.0
17,Aberdeen,OH,103444,0.0,80.0
18,Aberdeen,SD,1280752,0.0,80.0
19,Aberdeen,WA,1029028,0.0,80.0
20,Aberdeen Proving Ground,MD,92928,0.0,80.0
21,Abernathy,TX,147928,0.0,80.0
22,Abie,NE,3256,0.0,80.0
23,Abilene,KS,431420,0.0,80.0
24,Abilene,TX,5365712,0.0,80.0
25,Abingdon,IL,167420,0.0,80.0
26,Abingdon,MD,1299364,0.0,80.0
27,Abingdon,VA,1152008,0.0,80.0
28,Abington,MA,694452,0.0,80.0
29,Abington,PA,729168,0.0,80.0
30,Abiquiu,NM,47432,0.0,80.0
31,Abita Springs,LA,320276,0.0,80.0
32,Abrams,WI,119812,0.0,80.0
33,Absaraka,ND,924,0.0,80.0
34,Absarokee,MT,70576,0.0,80.0
35,Absecon,NJ,1665840,0.0,80.0
36,Acampo,CA,313940,0.0,80.0
37,Accident,MD,89320,0.0,80.0
38,Accokeek,MD,427856,0.0,80.0
39,Accomac,VA,79068,0.0,80.0
40,Accord,NY,147092,0.0,80.0
41,Accoville,WV,42108,0.0,80.0
42,Ace,TX,2992,0.0,80.0
43,Achille,OK,26488,0.0,80.0
44,Ackerly,TX,25740,0.0,80.0
45,Ackerman,MS,168696,0.0,80.0
46,Ackley,IA,103488,0.0,80.0
47,Ackworth,IA,29744,0.0,80.0
48,Acme,LA,1540,0.0,80.0
49,Acme,PA,162624,0.0,80.0
50,Acme,WA,27324,0.0,80.0
51,Acosta,PA,12672,0.0,80.0
52,Acra,NY,34012,0.0,80.0
53,Acton,CA,349228,0.0,80.0
54,Acton,MA,926684,0.0,80.0
55,Acton,ME,105072,0.0,80.0
56,Acton,MT,7216,0.0,80.0
57,Acushnet,MA,443344,0.0,80.0
58,Acworth,GA,4018256,0.0,80.0
59,Acworth,NH,20856,0.0,80.0
60,Ada,MI,817960,0.0,80.0
61,Ada,MN,97856,0.0,80.0
62,Ada,OH,367752,0.0,80.0
63,Ada,OK,1328536,0.0,80.0
64,Adah,PA,38588,0.0,80.0
65,Adair,IA,55352,0.0,80.0
66,Adair,IL,16148,0.0,80.0
67,Adair,OK,124388,0.0,80.0
68,Adairsville,GA,645172,0.0,80.0
69,Adairville,KY,103224,0.0,80.0
70,Adak,AK,14344,0.0,80.0
71,Adamant,VT,7084,0.0,80.0
72,Adams,KY,10296,0.0,80.0
73,Adams,MA,365332,0.0,80.0
74,Adams,MN,58652,0.0,80.0
75,Adams,ND,13552,0.0,80.0
76,Adams,NE,61292,0.0,80.0
77,Adams,NY,206536,0.0,80.0
78,Adams,OK,6776,0.0,80.0
79,Adams,OR,35156,0.0,80.0
80,Adams,TN,203720,0.0,80.0
81,Adams,WI,149776,0.0,80.0
82,Adams Center,NY,118316,0.0,80.0
83,Adams Run,SC,74712,0.0,80.0
84,Adamsburg,PA,23540,0.0,80.0
85,Adamstown,MD,189288,0.0,80.0
86,Adamstown,PA,45012,0.0,80.0
87,Adamsville,AL,343068,0.0,80.0
88,Adamsville,OH,46684,0.0,80.0
89,Adamsville,PA,13288,0.0,80.0
90,Adamsville,TN,265276,0.0,80.0
91,Addieville,IL,53460,0.0,80.0
92,Addington,OK,6380,0.0,80.0
93,Addis,LA,157212,0.0,80.0
94,Addison,AL,104808,0.0,80.0
95,Addison,IL,1704648,0.0,80.0
96,Addison,ME,55176,0.0,80.0
97,Addison,MI,99308,0.0,80.0
98,Addison,NY,237908,0.0,80.0
99,Addison,PA,28556,0.0,80.0
100,Addison,TX,543356,0.0,80.0
101,Addy,WA,63052,0.0,80.0
102,Addyston,OH,26180,0.0,80.0
103,Adel,GA,463408,0.0,80.0
104,Adel,IA,285472,0.0,80.0
105,Adel,OR,4796,0.0,80.0
106,Adelanto,CA,1434224,0.0,80.0
107,Adell,WI,82456,0.0,80.0
108,Adelphi,OH,16632,0.0,80.0
109,Adena,OH,94556,0.0,80.0
110,Adger,AL,136092,0.0,80.0
111,Adin,CA,23980,0.0,80.0
112,Adirondack,NY,13244,0.0,80.0
113,Adkins,TX,344652,0.0,80.0
114,Admire,KS,11308,0.0,80.0
115,Adolphus,KY,112860,0.0,80.0
116,Adona,AR,24596,0.0,80.0
117,Adrian,GA,125444,0.0,80.0
118,Adrian,MI,1773420,0.0,80.0
119,Adrian,MN,78980,0.0,80.0
120,Adrian,MO,165968,0.0,80.0
121,Adrian,OR,29920,0.0,80.0
122,Adrian,PA,43472,0.0,80.0
123,Adrian,TX,10648,0.0,80.0
124,Advance,MO,146740,0.0,80.0
125,Advance,NC,605396,0.0,80.0
126,Afton,IA,74228,0.0,80.0
127,Afton,MI,40964,0.0,80.0
128,Afton,MN,126764,0.0,80.0
129,Afton,NY,121352,0.0,80.0
130,Afton,OK,314204,0.0,80.0
131,Afton,TN,212300,0.0,80.0
132,Afton,TX,8404,0.0,80.0
133,Afton,VA,181984,0.0,80.0
134,Afton,WI,1012,0.0,80.0
135,Afton,WY,186384,0.0,80.0
136,Agar,SD,6424,0.0,80.0
137,Agate,CO,17028,0.0,80.0
138,Agawam,MA,697224,0.0,80.0
139,Agency,IA,43252,0.0,80.0
140,Agency,MO,61468,0.0,80.0
141,Agenda,KS,7788,0.0,80.0
142,Ages Brookside,KY,23144,0.0,80.0
143,Agness,OR,4444,0.0,80.0
144,Agoura Hills,CA,1105016,0.0,80.0
145,Agra,KS,17116,0.0,80.0
146,Agra,OK,54780,0.0,80.0
147,Agua Dulce,TX,38104,0.0,80.0
148,Aguada,PR,1808048,0.0,80.0
149,Aguadilla,PR,2369444,0.0,80.0
150,Aguanga,CA,165308,0.0,80.0
151,Aguas Buenas,PR,1242780,0.0,80.0
152,Aguila,AZ,52008,0.0,80.0
153,Aguilar,CO,40876,0.0,80.0
154,Aguirre,PR,372284,0.0,80.0
155,Ahmeek,MI,14916,0.0,80.0
156,Ahoskie,NC,517176,0.0,80.0
157,Ahsahka,ID,8536,0.0,80.0
158,Ahwahnee,CA,82500,0.0,80.0
159,Aibonito,PR,1107216,0.0,80.0
160,Aiea,HI,1726560,0.0,80.0
161,Aiken,SC,2997060,0.0,80.0
162,Ailey,GA,94600,0.0,80.0
163,Aimwell,LA,5148,0.0,80.0
164,Ainsworth,IA,55176,0.0,80.0
165,Ainsworth,NE,103664,0.0,80.0
166,Airville,PA,134156,0.0,80.0
167,Airway Heights,WA,269412,0.0,80.0
168,Aitkin,MN,378048,0.0,80.0
169,Ajo,AZ,190740,0.0,80.0
170,Akaska,SD,3300,0.0,80.0
171,Akeley,MN,79772,0.0,80.0
172,Akiachak,AK,27500,0.0,80.0
173,Akiak,AK,15224,0.0,80.0
174,Akron,AL,45892,0.0,80.0
175,Akron,CO,108944,0.0,80.0
176,Akron,IA,103092,0.0,80.0
177,Akron,IN,145684,0.0,80.0
178,Akron,MI,59268,0.0,80.0
179,Akron,NY,408100,0.0,80.0
180,Akron,OH,11705408,0.0,80.0
181,Akron,PA,185240,0.0,80.0
182,Akutan,AK,45144,0.0,80.0
183,Alabaster,AL,1141272,0.0,80.0
184,Alachua,FL,658636,0.0,80.0
185,Aladdin,WY,10560,0.0,80.0
186,Alakanuk,AK,29568,0.0,80.0
187,Alamance,NC,2596,0.0,80.0
188,Alameda,CA,3174160,0.0,80.0
189,Alamo,CA,643104,0.0,80.0
190,Alamo,GA,190344,0.0,80.0
191,Alamo,IN,2772,0.0,80.0
192,Alamo,ND,9020,0.0,80.0
193,Alamo,NV,53328,0.0,80.0
194,Alamo,TN,202884,0.0,80.0
195,Alamo,TX,1467620,0.0,80.0
196,Alamogordo,NM,1582328,0.0,80.0
197,Alamosa,CO,636724,0.0,80.0
198,Alanson,MI,199276,0.0,80.0
199,Alapaha,GA,94688,0.0,80.0
200,Alba,MI,10208,0.0,80.0
201,Alba,MO,27808,0.0,80.0
202,Alba,TX,187836,0.0,80.0
203,Albany,CA,848892,0.0,80.0
204,Albany,GA,4402112,0.0,80.0
205,Albany,IL,53240,0.0,80.0
206,Albany,IN,177408,0.0,80.0
207,Albany,KY,442904,0.0,80.0
208,Albany,LA,229988,0.0,80.0
209,Albany,MN,218812,0.0,80.0
210,Albany,MO,100892,0.0,80.0
211,Albany,NY,6487844,0.0,80.0
212,Albany,OH,239756,0.0,80.0
213,Albany,OR,2542408,0.0,80.0
214,Albany,TX,108460,0.0,80.0
215,Albany,VT,28908,0.0,80.0
216,Albany,WI,105028,0.0,80.0
217,Albemarle,NC,1149412,0.0,80.0
218,Albers,IL,81532,0.0,80.0
219,Albert,KS,13464,0.0,80.0
220,Albert City,IA,45716,0.0,80.0
221,Albert Lea,MN,894344,0.0,80.0
222,Alberta,AL,33660,0.0,80.0
223,Alberta,MN,10912,0.0,80.0
224,Alberta,VA,69036,0.0,80.0
225,Alberton,MT,58784,0.0,80.0
226,Albertson,NC,119636,0.0,80.0
227,Albertson,NY,316140,0.0,80.0
228,Albertville,AL,1473956,0.0,80.0
229,Albertville,MN,462088,0.0,80.0
230,Albia,IA,254056,0.0,80.0
231,Albin,WY,17292,0.0,80.0
232,Albion,CA,40832,0.0,80.0
233,Albion,IA,31856,0.0,80.0
234,Albion,ID,24376,0.0,80.0
235,Albion,IL,145332,0.0,80.0
236,Albion,IN,344652,0.0,80.0
237,Albion,ME,88000,0.0,80.0
238,Albion,MI,611248,0.0,80.0
239,Albion,NE,124476,0.0,80.0
240,Albion,NY,621720,0.0,80.0
241,Albion,OK,9372,0.0,80.0
242,Albion,PA,285824,0.0,80.0
243,Albion,RI,34364,0.0,80.0
244,Albion,WA,21736,0.0,80.0
245,Alborn,MN,21824,0.0,80.0
246,Albright,WV,79948,0.0,80.0
247,Albrightsville,PA,360844,0.0,80.0
248,Albuquerque,NM,27745476,0.0,80.0
249,Alburg,VT,86812,0.0,80.0
250,Alburnett,IA,49896,0.0,80.0
251,Alburtis,PA,237952,0.0,80.0
252,Alcalde,NM,119372,0.0,80.0
253,Alcester,SD,70708,0.0,80.0
254,Alcoa,TN,292864,0.0,80.0
255,Alcolu,SC,93104,0.0,80.0
256,Alcova,WY,9108,0.0,80.0
257,Alcove,NY,2640,0.0,80.0
258,Alda,NE,48268,0.0,80.0
259,Alden,IA,72512,0.0,80.0
260,Alden,KS,10032,0.0,80.0
261,Alden,MI,48444,0.0,80.0
262,Alden,MN,68992,0.0,80.0
263,Alden,NY,545072,0.0,80.0
264,Alder,MT,12276,0.0,80.0
265,Alder Creek,NY,4224,0.0,80.0
266,Alderpoint,CA,15708,0.0,80.0
267,Alderson,OK,15092,0.0,80.0
268,Alderson,WV,233464,0.0,80.0
269,Aldie,VA,496540,0.0,80.0
270,Aldrich,MN,10296,0.0,80.0
271,Aldrich,MO,35200,0.0,80.0
272,Aledo,IL,234520,0.0,80.0
273,Aledo,TX,594220,0.0,80.0
274,Aleknagik,AK,9636,0.0,80.0
275,Aleppo,PA,12584,0.0,80.0
276,Alex,OK,46024,0.0,80.0
277,Alexander,AR,617716,0.0,80.0
278,Alexander,IA,16104,0.0,80.0
279,Alexander,IL,18744,0.0,80.0
280,Alexander,KS,3916,0.0,80.0
281,Alexander,NC,158092,0.0,80.0
282,Alexander,ND,20460,0.0,80.0
283,Alexander,NY,86636,0.0,80.0
284,Alexander City,AL,894784,0.0,80.0
285,Alexandria,AL,200552,0.0,80.0
286,Alexandria,IN,451484,0.0,80.0
287,Alexandria,KY,715704,0.0,80.0
288,Alexandria,LA,2539856,0.0,80.0
289,Alexandria,MN,1016532,0.0,80.0
290,Alexandria,MO,27852,0.0,80.0
291,Alexandria,NE,12320,0.0,80.0
292,Alexandria,OH,104280,0.0,80.0
293,Alexandria,PA,104456,0.0,80.0
294,Alexandria,SD,70268,0.0,80.0
295,Alexandria,TN,99088,0.0,80.0
