City,State,Poverty,ChildPoverty
Aberdeen,WA,18.1,24.8
Abilene,TX,17.4,21.6
Abingdon,MD,8.0,11.7
Abingdon,VA,12.8,17.1
Adams Run,SC,13.1,18.4
Addison,ME,19.1,24.7
Addison,PA,12.7,19.6
Adena,OH,14.6,21.5
Adger,AL,22.5,32.2
Adjuntas,PR,61.7,72.2
Adrian,MI,14.3,21.3
Adrian,TX,13.1,17.6
Afton,TX,20.1,24.8
Afton,WY,7.9,9.7
Aguada,PR,103.30000000000001,125.8
Aguadilla,PR,55.9,62.1
Aguas Buenas,PR,53.6,66.7
Aguirre,PR,56.2,65.0
Aiken,SC,26.9,41.9
Akron,AL,26.8,38.9
Akron,IN,15.2,22.2
Akutan,AK,16.8,23.2
Alamo,TN,19.9,25.8
Alamogordo,NM,23.1,34.1
Alamosa,CO,19.2,29.6
Albany,GA,65.89999999999999,99.3
Albany,KY,24.3,29.4
Albany,MN,13.5,13.4
Albany,OH,22.8,31.0
Albany,OR,22.3,15.1
Albion,NE,10.1,11.7
Albrightsville,PA,10.9,19.6
Albuquerque,NM,19.4,27.2
Alexander,IA,13.3,21.6
Alexander City,AL,13.6,20.5
Alexandria,KY,14.6,20.5
Alexandria,NE,12.0,18.0
Alice,TX,23.9,36.2
Aliceville,AL,42.7,57.1
Alix,AR,22.0,28.3
Alleghany,CA,14.6,22.7
Allen,TX,7.6,9.5
Allendale,IL,13.5,19.8
Allenhurst,GA,17.9,23.0
Alleyton,TX,15.1,19.1
Alliance,NE,16.5,29.5
Allison,TX,15.7,24.6
Allouez,MI,15.3,26.3
Alma,GA,40.2,55.3
Alma Center,WI,14.6,25.3
Almena,WI,12.6,17.4
Almyra,AR,20.1,30.4
Alpena,AR,18.3,27.2
Alpena,MI,13.7,21.0
Alpena,SD,8.9,8.0
Alpharetta,GA,17.6,25.2
Alpine,CA,14.5,18.4
Alpine,TN,21.5,29.9
Alston,GA,25.3,35.9
Altamont,NY,12.6,20.8
Alto,GA,17.8,26.2
Alto,NM,16.5,20.2
Altonah,UT,10.4,13.2
Altoona,FL,13.9,21.1
