City,State,population,Poverty,Diversity,Employment,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Mean,Income,Stdev,Income
Aberdeen,WA,1029028,67.7,5060.57,1593338.16,52,136,523,754,459,936,1137,1213,943,1293,829,1179,1161,960,1024,686,573,735,521,735
Abilene,TX,5365712,60.6,4511.589999999999,3691277.6799999997,1286,1359,747,936,754,951,589,172,1291,1191,346,413,872,464,951,1050,521,815,134,815
Abingdon,MD,1299364,31.4,4966.2,7738510.079999999,1230,821,211,459,987,193,266,492,43,1233,802,951,919,492,631,1048,520,283,104,283
Abingdon,VA,1152008,47.0,5841.56,1486344.0799999998,24,121,459,1065,449,413,936,720,42,106,9,1012,399,838,961,676,104,316,520,316
Adena,OH,94556,57.6,5716.26,1807795.5999999999,1292,459,720,1140,66,190,831,1133,1041,961,957,565,413,312,1014,678,134,723,573,723
Adrian,MI,1773420,56.900000000000006,5462.78,2620513.12,1291,1215,429,32,936,400,300,188,476,735,735,521,1292,536,1136,1024,598,999,598,999
Adrian,TX,10648,48.300000000000004,4727.0599999999995,47288.479999999996,383,755,331,272,1099,67,121,1066,1165,1354,1163,303,720,1086,1202,381,999,553,336,553
Afton,WY,186384,27.299999999999997,5709.2,530670.08,637,510,413,1369,411,1140,961,730,814,60,316,656,292,421,926,1018,331,1146,992,1146
Aguada,PR,1808048,354.9,1912.445,1592178.16,727,960,815,1207,1145,680,723,471,640,188,790,912,829,170,1118,1014,8,876,331,876
Aguadilla,PR,2369444,180.1,1874.7500000000002,636277.36,1102,111,886,433,136,160,1146,208,1213,598,876,1247,577,980,937,1010,56,95,360,95
Aguas Buenas,PR,1242780,187.0,1883.68,393671.51999999996,346,710,1226,160,262,1179,735,735,557,1265,1048,400,403,1181,1031,376,554,1118,154,1118
Aiken,SC,2997060,110.69999999999999,3762.23,488557.04,581,208,266,143,433,960,1102,1069,1117,1138,506,718,1359,927,431,375,864,10,999,10
Akron,IN,145684,59.599999999999994,5561.93,897290.08,457,1329,208,1014,1359,754,1133,218,723,172,296,169,182,586,686,1005,1363,1141,642,1141
Alamogordo,NM,1582328,91.30000000000001,3825.96,1343691.44,527,1282,635,1335,272,1016,403,220,359,589,776,1178,635,1327,383,1002,316,90,8,90
Alamosa,CO,636724,78.4,4046.0800000000004,309971.92,90,834,1189,505,399,208,1191,455,1312,1292,383,752,692,1262,865,994,1088,1010,1123,1010
Albany,GA,4402112,264.5,3691.3499999999995,2942101.36,545,26,1184,1353,1236,1012,1061,223,22,831,1281,132,208,871,791,987,1010,60,1363,60
Albany,KY,442904,83.1,5894.95,216508.56,1308,749,218,506,267,66,292,886,282,1314,994,1233,951,936,742,201,360,1363,60,1363
