index,City,State,population,minimum_age_x,minimum_age_y,Hispanic,White,Black,Native,Asian,Pacific,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Employed,Unemployment,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Mean,Median,Stdev
19,Aberdeen,WA,1029028,0.0,80.0,9.6,80.1,1.1,4.0,1.5,0.4,18.1,24.8,25.0,24.9,23.1,11.8,15.1,26197,14.3,76.9,13.4,1.5,2.2,2.0,3.9,24.2,71.2,21.7,7.0,0.2,43538.0,1652.0,22387.0,757.0,72647.0,80209.0,46242.0
24,Abilene,TX,5365712,0.0,80.0,23.2,65.6,7.2,0.4,1.7,0.0,17.4,21.6,30.3,21.9,25.8,11.1,10.9,60708,5.9,81.4,11.4,0.6,2.3,1.8,2.5,15.9,77.5,16.5,5.7,0.2,45396.0,1528.0,23896.0,744.0,51258.92307692308,79425.53846153847,38462.769230769234
26,Abingdon,MD,1299364,0.0,80.0,4.0,77.6,12.9,0.2,2.8,0.0,8.0,11.7,42.4,14.7,25.0,8.6,9.3,127274,6.4,83.2,9.1,1.7,1.4,0.8,3.9,31.7,74.4,21.2,4.2,0.2,80465.0,1153.0,35746.0,520.0,109797.0,300000.0,57646.5
27,Abingdon,VA,1152008,0.0,80.0,1.4,95.6,1.4,0.0,0.6,0.0,12.8,17.1,34.4,17.1,24.8,7.3,16.4,24442,6.9,84.2,8.8,0.3,1.8,0.6,4.2,23.2,78.1,15.9,6.0,0.0,43310.0,1910.0,25351.0,968.0,60952.5,47182.5,54058.0
109,Adena,OH,94556,0.0,80.0,0.8,93.2,3.8,0.2,0.4,0.0,14.6,21.5,26.4,19.9,23.7,14.6,15.3,29728,8.5,86.3,7.7,0.4,2.6,1.1,1.9,22.5,82.2,13.9,3.8,0.1,43833.0,1491.0,23684.0,711.0,51340.5,48046.5,37181.5
118,Adrian,MI,1773420,0.0,80.0,7.6,87.3,2.2,0.4,0.3,0.1,14.3,21.3,28.0,19.5,24.1,9.5,18.9,43095,8.6,82.9,10.0,0.3,3.0,0.8,3.0,27.1,82.3,12.2,5.4,0.1,48043.0,1244.0,23252.0,457.0,64883.4,203089.4,44075.6
123,Adrian,TX,10648,0.0,80.0,14.4,72.2,6.1,0.5,0.5,0.0,13.1,17.6,39.2,19.3,19.7,11.5,10.3,773,7.4,80.9,9.0,0.0,3.9,1.0,5.2,17.6,73.2,20.1,6.7,0.0,50893.0,11047.0,23452.0,6306.0,71688.0,50239.5,70619.5
135,Afton,WY,186384,0.0,80.0,4.4,92.8,0.1,0.3,0.4,0.1,7.9,9.7,30.6,16.4,19.9,20.7,12.3,8724,6.4,74.5,13.0,1.3,3.6,0.5,7.1,29.9,73.6,19.8,6.2,0.3,66647.0,5160.0,29915.0,2016.0,75603.0,65484.5,46545.0
148,Aguada,PR,1808048,0.0,80.0,94.85,2.55,0.15000000000000002,0.0,0.2,0.0,103.30000000000001,125.8,61.1,45.8,51.2,22.1,19.9,26156,48.3,78.35,13.649999999999999,0.55,3.6,0.8,2.95,23.35,65.6,24.65,9.649999999999999,0.05,16648.0,1089.5,9381.0,469.0,15078.4,11323.6,12503.6
149,Aguadilla,PR,2369444,0.0,80.0,98.9,0.7,0.2,0.0,0.0,0.0,55.9,62.1,28.4,20.3,29.6,13.6,8.1,10452,20.3,90.6,5.6,0.4,3.1,0.1,0.2,25.5,64.9,25.3,9.6,0.2,15707.0,825.0,8371.0,568.0,26461.285714285714,13693.42857142857,33250.71428571428
