City,State,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute
Aberdeen,WA,76.9,13.4,1.5,2.2,2.0,3.9,24.2
Abilene,TX,81.4,11.4,0.6,2.3,1.8,2.5,15.9
Abingdon,MD,83.2,9.1,1.7,1.4,0.8,3.9,31.7
Abingdon,VA,84.2,8.8,0.3,1.8,0.6,4.2,23.2
Adams Run,SC,83.6,9.9,0.6,0.9,1.2,3.8,28.2
Addison,ME,74.4,12.2,0.2,5.2,1.0,7.0,20.1
Addison,PA,82.4,9.7,0.1,2.2,1.0,4.6,23.2
Adena,OH,86.3,7.7,0.4,2.6,1.1,1.9,22.5
Adger,AL,84.5,12.0,0.3,0.9,1.0,1.3,30.0
Adjuntas,PR,87.9,5.6,0.0,5.5,0.0,1.0,29.7
Adrian,MI,82.9,10.0,0.3,3.0,0.8,3.0,27.1
Adrian,TX,80.9,9.0,0.0,3.9,1.0,5.2,17.6
Afton,TX,75.3,9.7,0.0,6.2,2.8,6.1,16.1
Afton,WY,74.5,13.0,1.3,3.6,0.5,7.1,29.9
Aguada,PR,78.35,13.649999999999999,0.55,3.6,0.8,2.95,23.35
Aguadilla,PR,90.6,5.6,0.4,3.1,0.1,0.2,25.5
Aguas Buenas,PR,81.4,8.9,3.0,3.6,0.8,2.3,34.0
Aguirre,PR,84.0,5.9,0.5,6.0,2.3,1.3,24.1
Aiken,SC,86.0,9.5,0.1,2.2,1.0,1.3,27.5
Akron,AL,88.2,8.8,0.0,0.3,1.5,1.2,29.8
Akron,IN,84.9,8.9,0.3,1.6,1.8,2.6,23.6
Akutan,AK,18.4,4.9,0.5,71.2,2.2,2.8,4.9
Alamo,TN,88.4,6.1,0.0,1.3,0.5,3.7,23.4
Alamogordo,NM,76.4,16.9,0.6,2.6,1.1,2.4,19.1
Alamosa,CO,79.1,12.4,0.2,2.9,0.9,4.4,18.2
Albany,GA,83.33333333333333,10.166666666666666,1.0,1.2,1.3666666666666665,2.866666666666667,22.433333333333334
Albany,KY,84.6,11.2,0.3,0.4,1.1,2.5,19.1
Albany,MN,78.6,7.9,1.6,4.4,1.3,6.2,20.5
Albany,OH,84.7,9.1,0.1,2.3,0.9,2.8,29.3
Albany,OR,65.4,8.4,2.1,7.1,9.4,7.6,19.5
Albion,NE,77.0,7.5,0.0,4.7,1.0,9.8,17.0
Albrightsville,PA,82.9,7.5,0.4,3.0,2.6,3.6,31.7
Albuquerque,NM,79.9,9.4,1.8,2.0,2.6,4.1,21.6
Alexander,IA,78.8,8.5,0.2,6.3,0.7,5.4,15.9
Alexander City,AL,87.1,9.0,0.1,0.4,1.2,2.2,28.5
Alexandria,KY,82.6,7.8,2.2,3.4,1.1,2.9,22.1
Alexandria,NE,79.6,7.0,0.1,3.6,0.4,9.4,14.4
Alice,TX,70.0,19.3,0.0,5.7,1.7,3.3,26.9
Aliceville,AL,86.2,8.4,0.3,2.8,0.3,2.0,24.3
Alix,AR,77.5,12.2,1.0,1.7,0.6,7.1,27.1
Alleghany,CA,71.1,8.8,0.0,4.2,3.8,12.1,28.2
Allen,TX,81.6,7.2,1.1,0.8,1.4,7.8,28.2
Allendale,IL,82.2,10.4,0.4,2.4,0.9,3.8,17.7
Allenhurst,GA,79.5,12.7,0.5,0.9,6.1,0.3,27.4
Alleyton,TX,87.2,7.8,1.1,1.9,0.2,1.8,21.4
Alliance,NE,71.5,10.3,0.0,9.9,1.4,6.9,18.0
Allison,TX,86.5,8.0,0.0,1.3,1.9,2.3,18.1
Allouez,MI,71.3,15.8,0.1,3.9,1.3,7.6,22.0
Alma,GA,80.3,15.299999999999999,0.45,1.6,0.7,1.7,20.55
Alma Center,WI,79.7,11.1,0.1,2.5,1.3,5.3,22.1
Almena,WI,79.2,7.6,0.2,5.5,1.3,6.2,19.6
Almyra,AR,80.9,13.0,0.3,2.1,1.4,2.4,15.1
Alpena,AR,78.5,11.6,0.0,4.4,0.6,4.8,19.6
Alpena,MI,79.5,11.7,0.0,2.7,1.6,4.5,24.8
Alpena,SD,70.8,10.0,0.5,6.4,1.1,11.2,17.4
Alpharetta,GA,72.8,8.1,7.0,2.8,1.4,7.9,27.4
Alpine,CA,76.0,9.3,3.0,2.9,2.0,6.8,25.0
Alpine,TN,87.6,8.5,0.3,0.4,0.6,2.5,27.2
Alston,GA,85.2,7.8,0.3,1.5,2.9,2.2,20.5
Altamont,NY,80.3,7.6,4.0,3.3,1.4,3.4,22.6
Alto,GA,84.0,8.8,0.5,2.0,1.7,3.0,24.8
Alto,NM,72.6,14.9,0.0,3.8,1.5,7.2,21.4
Altonah,UT,84.0,8.4,0.5,3.2,0.8,3.1,22.0
Altoona,FL,80.5,11.4,0.3,1.1,1.5,5.3,28.2
Altus,OK,81.5,12.7,0.2,2.3,1.2,2.1,15.0
Alva,OK,80.25,9.6,0.1,3.9,1.45,4.75,15.95
Alvo,NE,84.2,9.6,0.1,2.2,0.8,3.1,26.6
Amado,AZ,76.6,9.9,2.8,2.5,3.7,4.6,24.4
Amargosa Valley,NV,75.7,14.0,1.1,3.1,2.3,3.7,24.8
Amarillo,TX,80.55,13.05,0.8500000000000001,1.55,1.25,2.7,18.700000000000003
Amasa,MI,81.7,10.5,0.3,2.7,1.1,3.7,21.1
Amboy,WA,78.8,9.2,2.4,1.8,1.5,6.3,25.3
Amelia,NE,73.1,10.2,0.5,5.0,0.7,10.5,13.9
Amistad,NM,78.0,13.9,1.2,1.4,2.1,3.5,14.3
Amity,AR,78.7,14.5,0.8,1.8,2.1,2.1,26.0
Anaconda,MT,68.19999999999999,12.45,0.4,6.3,1.2000000000000002,11.55,22.799999999999997
Anamosa,IA,82.0,9.5,0.4,3.2,0.6,4.4,24.9
Anawalt,WV,84.9,10.0,0.6,1.7,0.3,2.5,25.2
Anchorage,AK,75.4,11.9,1.9,3.1,4.0,3.7,19.5
Andalusia,AL,86.9,8.6,0.30000000000000004,1.35,1.2,1.6500000000000001,24.3
Anderson,SC,86.5,8.1,0.3,1.2,1.5,2.4,23.0
Andersonville,GA,73.1,15.0,1.8,2.3,3.7,4.1,24.9
Andrews,NC,83.1,8.2,0.3,2.7,1.4,4.2,22.6
Andrews,TX,78.0,18.2,0.0,0.1,1.2,2.5,19.3
Angela,MT,72.1,10.0,0.3,6.9,3.5,7.2,14.1
Angola,LA,89.3,7.7,0.0,0.1,0.3,2.6,28.4
Angoon,AK,37.5,9.8,1.8,29.3,10.5,11.0,9.0
Angora,NE,71.7,13.3,0.6,5.1,1.3,7.9,17.5
Animas,NM,78.6,10.8,0.1,3.8,1.0,5.9,20.0
Annabella,UT,79.4,11.7,0.8,1.6,2.1,4.4,16.5
Annapolis,MO,85.6,8.6,0.0,0.8,2.0,3.0,26.6
Anniston,AL,85.3,9.4,0.2,1.2,1.2,2.7,24.1
Antigo,WI,81.7,8.3,0.4,3.9,1.7,4.0,21.9
Apache,OK,83.3,11.1,0.6,2.2,1.0,1.8,21.6
Appleton City,MO,78.8,7.6,0.3,4.9,2.7,5.7,25.7
Arab,AL,82.0,12.9,0.2,1.0,0.8,3.1,23.6
Aragon,NM,70.3,5.9,0.0,8.1,1.1,14.7,16.0
Aransas Pass,TX,79.6,11.5,0.0,2.9,0.9,5.0,22.0
Arapahoe,NC,75.3,14.9,0.0,1.9,2.5,5.3,26.3
Arapahoe,NE,73.2,12.2,0.1,4.1,1.5,9.0,14.5
Arcadia,FL,68.7,18.0,6.2,2.0,2.6,2.6,25.0
Arcadia,LA,84.7,9.8,0.0,3.5,0.5,1.5,24.4
Arcadia,NE,73.0,13.1,0.0,5.3,0.7,7.8,13.7
Arcanum,OH,84.35,9.4,0.4,1.7,1.15,3.05,23.4
Arco,ID,76.4,10.6,1.2,7.4,0.4,4.0,21.3
Arcola,IL,75.3,10.3,0.1,4.1,4.9,5.3,21.1
Ardenvoir,WA,76.8,9.6,1.5,4.4,2.5,5.3,18.2
Ardmore,OK,78.9,13.7,0.4,2.5,0.6,3.9,23.8
Arena,WI,76.4,11.1,0.4,4.1,1.7,6.4,26.1
Arkadelphia,AR,79.2,10.7,0.4,4.1,1.3,4.3,21.5
Arlington,KY,82.7,8.9,0.0,0.1,2.7,5.7,25.5
Arlington,NE,85.1,6.9,0.0,3.1,0.5,4.5,21.2
Arlington,OR,71.2,8.3,0.7,10.1,2.2,7.5,14.2
Arlington,TX,82.9,10.0,0.6,1.2,1.4,3.9,26.5
Arlington,VA,56.45,7.25,24.049999999999997,4.25,2.6,5.4,29.450000000000003
Armagh,PA,80.5,8.5,0.6,5.3,1.9,3.2,22.2
Armour,SD,73.3,5.7,0.5,5.2,0.8,14.5,14.4
Armstrong,TX,94.6,0.0,0.0,5.4,0.0,0.0,16.6
Arnett,WV,84.3,9.7,0.1,1.9,1.2,2.7,24.3
Arnold,CA,62.5,13.7,0.0,8.4,1.8,13.7,24.3
Arnold,KS,76.9,9.4,0.1,5.6,1.1,7.0,10.8
Arnold,NE,75.5,10.7,0.0,3.9,1.8,8.1,16.7
Arpin,WI,82.0,8.2,0.2,4.1,1.9,3.6,18.9
Arroyo,PR,85.1,11.0,2.1,0.8,0.0,1.0,21.3
Artemus,KY,85.8,9.5,0.9,1.4,0.2,2.1,20.9
Ash,NC,79.6,13.3,0.4,0.7,1.2,4.8,23.7
Ash Grove,MO,79.85,11.55,0.39999999999999997,2.1500000000000004,1.6,4.45,20.85
Ashburn,GA,78.95,12.5,0.35,1.5,2.95,3.8,22.2
Ashburnham,MA,81.7,8.7,1.6,2.7,1.0,4.2,28.3
Ashford,WV,87.0,8.7,0.0,2.7,0.1,1.5,30.4
Ashland,AL,84.3,10.4,0.6,1.8,0.9,2.1,30.3
Ashland,IL,76.6,14.6,0.4,2.7,1.4,4.2,21.3
Ashland,KY,82.3,11.1,0.3,3.5,1.2,1.6,21.1
Ashland,MA,68.9,7.5,11.4,4.9,2.2,5.2,29.3
Ashley,ND,75.8,7.4,0.3,9.4,0.7,6.4,12.5
Aspen,CO,52.3,8.4,11.9,10.4,6.5,10.4,17.8
Assaria,KS,83.0,8.4,0.5,1.8,3.1,3.2,14.4
Astoria,NY,31.6,6.4,52.3,5.8,1.5,2.4,42.6
Atchison,KS,73.6,10.9,0.1,7.4,1.0,6.9,20.8
Athens,AL,87.4,8.9,0.3,0.6,0.6,2.1,26.3
Athens,GA,74.6,11.5,4.1,4.2,2.8,2.9,19.3
Athens,TN,85.8,9.8,0.1,0.8,0.5,3.0,23.0
Atkins,AR,81.9,12.8,0.6,1.3,1.3,2.2,24.7
Atlanta,MI,82.6,7.7,0.0,3.0,0.8,6.0,27.2
Atlantic,VA,79.9,11.2,0.5,4.0,1.7,2.7,20.9
Atlantic City,NJ,76.1,8.3,7.4,3.4,2.8,2.0,23.8
Attleboro,MA,82.1,9.0,2.5,2.3,0.9,3.1,27.6
Atwood,TN,85.5,8.1,0.2,1.6,2.3,2.3,24.7
Au Gres,MI,81.5,9.6,0.8,2.9,1.5,3.7,26.2
Auburn,AL,76.25,13.95,0.6,5.35,1.5499999999999998,2.25,24.65
Auburn,KY,86.1,7.9,0.2,1.4,2.5,1.9,21.6
Auburn,WV,81.7,12.1,0.0,2.2,1.3,2.8,25.8
Auburntown,TN,82.2,12.4,0.2,1.0,0.8,3.4,33.5
Audubon,MN,77.8,10.8,0.4,2.9,1.5,6.6,22.8
Augusta,GA,84.2,9.75,0.9500000000000001,2.1,0.9,2.0999999999999996,22.7
Augusta,KY,81.1,12.0,0.0,1.7,0.6,4.6,37.8
Augusta,MO,87.0,6.0,0.2,1.0,1.0,4.8,25.3
Aurora,CO,77.6,12.0,3.7,1.2,1.2,4.4,28.8
Aurora,MO,77.8,14.5,0.2,2.3,1.0,4.2,22.5
Austin,NV,56.7,19.5,13.1,6.0,1.6,3.1,25.3
Austin,PA,78.5,11.6,0.0,6.5,1.0,2.4,15.9
Austin,TX,74.3,10.1,3.5,2.1,2.7,7.4,24.8
Austinburg,OH,83.4,9.3,0.8,1.9,1.5,3.1,25.2
Austinville,VA,83.5,12.6,0.2,0.5,0.2,3.0,25.3
Autaugaville,AL,87.5,8.8,0.1,0.5,1.3,1.8,26.5
