City,population,minimum_age,maximum_age
Aaronsburg,8495,0.0,84.0
Abbeville,39509,0.0,84.0
Abbot,7639,0.0,79.0
Abbotsford,7711,0.0,84.0
Abbott,7945,5.0,84.0
Abbottstown,7492,0.0,79.0
Abbyville,5576,0.0,84.0
Abell,9606,0.0,84.0
Abercrombie,11422,0.0,84.0
Aberdeen,57926,0.0,84.0
Aberdeen Proving Ground,7761,0.0,84.0
Abernathy,7394,0.0,79.0
Abie,7782,0.0,84.0
Abilene,68827,0.0,84.0
Abingdon,32067,0.0,84.0
Abington,16315,0.0,84.0
Abiquiu,6821,0.0,79.0
Abita Springs,9691,0.0,84.0
Abrams,10933,0.0,84.0
Absaraka,14883,0.0,79.0
Absarokee,10749,0.0,84.0
Absecon,22504,0.0,84.0
Acampo,4946,0.0,84.0
Accident,9602,0.0,84.0
Accokeek,6948,0.0,84.0
Accomac,6262,0.0,84.0
Accord,9597,0.0,84.0
Accoville,6243,0.0,84.0
Ace,4690,0.0,84.0
Achille,7503,5.0,84.0
Ackerly,10313,0.0,84.0
Ackerman,8037,5.0,84.0
Ackley,7320,0.0,84.0
Ackworth,10343,0.0,84.0
Acme,32109,0.0,84.0
Acosta,6530,0.0,84.0
Acra,8516,0.0,84.0
Acton,34443,0.0,84.0
Acushnet,8924,0.0,84.0
Acworth,29711,0.0,84.0
Ada,28566,0.0,84.0
Adah,13541,0.0,84.0
Adair,16405,0.0,84.0
Adairsville,5592,0.0,79.0
Adairville,9268,0.0,84.0
Adak,6229,0.0,84.0
Adamant,7242,0.0,84.0
Adams,82449,0.0,84.0
Adams Center,7259,0.0,84.0
Adams Run,10240,5.0,84.0
Adamsburg,9785,0.0,84.0
Adamstown,19520,0.0,84.0
Adamsville,31277,0.0,84.0
Addieville,9504,0.0,84.0
Addington,8456,0.0,84.0
Addis,7621,0.0,84.0
Addison,47449,0.0,84.0
Addy,6621,0.0,84.0
Addyston,7529,0.0,84.0
Adel,24631,0.0,84.0
Adelanto,14036,0.0,84.0
Adell,7679,0.0,84.0
Adelphi,6295,0.0,84.0
Adena,7096,0.0,84.0
Adger,18391,0.0,74.0
Adin,5743,5.0,84.0
Adirondack,7584,0.0,84.0
Adkins,8755,0.0,84.0
Admire,6923,0.0,84.0
Adolphus,5286,5.0,84.0
Adona,4078,0.0,84.0
Adrian,59179,0.0,84.0
Advance,15869,0.0,84.0
Afton,82848,0.0,84.0
Agar,7343,0.0,84.0
Agate,11015,0.0,84.0
Agawam,12732,0.0,84.0
Agency,15877,0.0,84.0
Agenda,12281,0.0,79.0
Ages Brookside,18498,0.0,84.0
Agness,6611,0.0,84.0
Agoura Hills,8809,0.0,84.0
Agra,15964,0.0,84.0
Agua Dulce,4704,0.0,84.0
Aguada,11334,0.0,79.0
Aguadilla,13578,0.0,84.0
Aguanga,11703,0.0,84.0
Aguas Buenas,5645,0.0,84.0
Aguila,6381,0.0,84.0
Aguilar,8083,0.0,79.0
Aguirre,11367,0.0,84.0
