City,Hispanic,White,Black,Native,Asian,Pacific
Aberdeen,9.6,80.1,1.1,4.0,1.5,0.4
Abilene,23.2,65.6,7.2,0.4,1.7,0.0
Abingdon,2.7,86.6,7.15,0.1,1.7,0.0
Adams Run,4.8,65.1,25.2,0.5,1.7,0.1
Addison,1.5,92.75,1.55,2.3,0.4,0.0
Adena,0.8,93.2,3.8,0.2,0.4,0.0
Adger,2.3,89.6,5.7,0.1,0.4,0.0
Adjuntas,99.8,0.2,0.0,0.0,0.0,0.0
Adrian,11.0,79.75,4.15,0.45,0.4,0.05
Afton,15.399999999999999,79.85,3.0999999999999996,0.25,0.2,0.05
Aguada,94.85,2.55,0.15000000000000002,0.0,0.2,0.0
Aguadilla,98.9,0.7,0.2,0.0,0.0,0.0
Aguas Buenas,99.2,0.8,0.0,0.0,0.0,0.0
Aguirre,99.3,0.3,0.1,0.0,0.3,0.0
Aiken,2.3,51.4,44.8,0.3,0.7,0.0
Akron,1.9000000000000001,64.9,31.6,0.65,0.3,0.1
Akutan,12.0,15.0,9.2,29.0,30.5,1.1
Alamo,9.5,75.7,13.1,0.2,0.1,0.0
Alamogordo,36.1,51.1,3.5,6.2,1.1,0.0
Alamosa,44.2,53.1,0.5,1.1,0.4,0.1
Albany,2.8428571428571425,73.64285714285714,20.157142857142855,0.18571428571428572,1.7142857142857142,0.04285714285714286
Albion,1.7,97.8,0.1,0.0,0.1,0.1
Albrightsville,3.9,92.8,1.3,0.1,0.5,0.0
Albuquerque,48.7,40.4,2.5,3.9,2.2,0.1
Alexander,11.5,86.5,1.0,0.0,0.2,0.0
Alexander City,2.8,73.6,21.0,0.2,0.5,0.0
Alexandria,1.4500000000000002,94.25,1.6500000000000001,0.15000000000000002,0.4,0.0
Alice,88.5,10.0,0.9,0.2,0.4,0.0
Aliceville,0.4,24.8,72.4,0.4,1.7,0.0
Alix,2.7,92.8,0.7,1.6,0.3,0.0
Alleghany,8.9,88.0,0.1,0.9,0.0,0.5
Allen,15.0,60.8,8.9,0.3,12.4,0.1
Allendale,5.8,72.1,20.5,0.3,0.1,0.0
Allenhurst,11.7,59.2,23.2,0.4,1.2,0.2
Alleyton,27.8,58.1,13.6,0.1,0.2,0.0
Alliance,4.2,82.9,0.4,9.1,0.5,0.0
Allison,26.4,68.8,2.2,0.2,0.5,0.3
Allouez,0.9,97.8,0.6,0.5,0.1,0.0
Alma,9.45,73.3,15.65,0.0,0.6,0.15
Alma Center,3.1,86.7,2.3,5.4,0.5,0.0
Almena,2.3,94.1,1.3,0.8,0.5,0.0
Almyra,2.9,70.3,25.3,0.1,0.4,0.0
Alpena,5.966666666666666,91.39999999999999,0.3,0.3333333333333333,0.2333333333333333,0.39999999999999997
Alpharetta,7.6,40.4,43.5,0.2,6.3,0.0
Alpine,17.05,71.7,2.75,0.35,5.75,0.2
Alston,6.0,66.3,26.3,0.2,0.4,0.0
Altamont,6.4,75.1,9.3,0.2,4.2,0.0
Alto,22.35,71.0,2.1999999999999997,1.35,1.2000000000000002,0.1
Altonah,7.6,85.8,0.2,4.3,0.5,0.4
Altoona,13.5,72.3,9.5,0.3,1.8,0.1
Altus,22.4,64.2,7.4,1.1,1.4,0.2
Alva,5.45,81.0,2.55,1.25,0.25,0.05
Alvo,2.9,94.6,1.0,0.2,0.6,0.0
Amado,35.7,53.7,3.3,2.4,2.6,0.1
Amargosa Valley,14.2,77.8,2.5,1.8,1.4,0.2
Amarillo,27.799999999999997,60.85,5.8,0.35,3.0,0.1
Amasa,1.7,95.4,0.4,0.7,0.4,0.0
Amboy,8.4,80.3,1.8,0.6,4.1,0.7
Amelia,3.6,94.9,0.1,0.8,0.4,0.0
