City,Employed,Unemployment
Aberdeen,26197,14.3
Abilene,60708,5.9
Abingdon,151716,13.3
Adams Run,66723,8.0
Addison,46113,16.700000000000003
Adena,29728,8.5
Adger,24043,11.4
Adjuntas,4093,36.5
Adrian,43868,16.0
Afton,9468,20.0
Aguada,26156,48.3
Aguadilla,10452,20.3
Aguas Buenas,6459,24.6
Aguirre,7804,12.1
Aiken,8026,14.7
Akron,20034,22.700000000000003
Akutan,2519,2.9
Alamo,5766,7.4
Alamogordo,22092,12.7
Alamosa,5093,8.1
Albany,184129,67.30000000000001
Albion,2777,1.2
Albrightsville,28973,8.6
Albuquerque,307756,8.4
Alexander,5012,4.2
Alexander City,33636,8.3
Alexandria,48414,8.5
Alice,4336,10.9
Aliceville,4416,16.8
Alix,6592,11.0
Alleghany,1110,8.0
Allen,444189,4.9
Allendale,4197,6.1
Allenhurst,5728,15.6
Alleyton,9169,4.2
Alliance,2564,1.4
Allison,2688,3.9
Allouez,842,7.0
Alma,10204,11.0
Alma Center,9294,5.6
Almena,22257,6.0
Almyra,8088,8.3
Alpena,16977,20.2
Alpharetta,471816,9.9
Alpine,1470609,16.4
Alston,3394,6.7
Altamont,74134,7.4
Alto,25000,15.0
Altonah,7875,5.2
Altoona,121642,9.7
Altus,10388,7.6
Alva,6541,7.7
Alvo,13103,3.8
Amado,422371,10.0
Amargosa Valley,14143,13.4
Amarillo,118690,9.2
Amasa,4324,9.0
Amboy,201261,8.6
Amelia,5529,0.9
Amistad,1692,2.1
Amity,4476,6.6
Anaconda,5099,11.1
Anamosa,9815,5.0
Anawalt,4627,13.3
Anchorage,152355,6.7
Andalusia,26496,26.799999999999997
Anderson,81226,9.2
Andersonville,4461,18.7
Andrews,17285,12.3
Angela,4002,10.6
Angola,5021,8.5
Angoon,1086,13.1
Angora,2451,4.0
Animas,1867,12.2
Annabella,8449,5.9
Annapolis,4854,10.2
Anniston,47401,12.3
Antigo,8779,8.2
Apache,11208,9.5
Appleton City,3408,9.3
Arab,38140,8.4
Aragon,1049,4.6
Aransas Pass,9464,6.8
Arapahoe,7430,13.1
Arcadia,20041,24.299999999999997
Arcanum,68494,14.899999999999999
Arco,960,6.8
Arcola,9415,6.1
Ardenvoir,33140,7.5
Ardmore,4078,6.7
Arena,12424,4.7
Arkadelphia,9780,8.4
Arlington,1172376,32.5
Armagh,38903,7.8
Armour,1538,0.4
Armstrong,185,0.0
Arnett,29014,6.6
Arnold,7626,15.7
Arpin,36445,6.6
Arroyo,4000,22.9
Artemus,9477,15.7
Ash,45213,11.4
Ash Grove,151111,13.8
Ashburn,18938,18.3
Ashburnham,403519,7.8
Ashford,7592,9.2
Ashland,862492,34.5
Ashley,2755,1.5
Aspen,10290,7.7
Assaria,28311,5.0
Astoria,1104930,8.6
Atchison,7519,7.3
Athens,112353,26.3
Atkins,8306,8.1
Atlanta,2937,16.0
Atlantic,14296,6.8
Atlantic City,128151,12.5
Attleboro,269391,9.0
Atwood,10700,11.5
Au Gres,5569,12.0
Auburn,22704,52.5
Auburntown,5724,12.9
Audubon,15929,3.5
Augusta,340181,32.5
Aurora,244002,19.3
Austin,604495,22.5
Austinburg,40422,8.9
Austinville,13033,6.7
Autaugaville,23986,7.6
Avera,5097,17.0
Avinger,11964,9.2
Avoca,5003,4.2
Avondale,65300,10.8
Axtell,117121,14.399999999999999
Axton,21466,10.0
Azle,27154,7.5
Bainbridge,21652,7.1
Bajadero,23545,17.7
Baker,1632,3.3
Baker City,6376,10.1
Bakersfield,343499,21.0
Baldwin,23564,4.8
Baldwyn,37654,7.8
Balko,2555,3.0
Ball Ground,110111,6.3
Baltic,19207,4.2
Baltimore,270930,13.1
Bandana,3489,6.2
Banks,14462,10.2
Barceloneta,3140,15.7
Barksdale,912,4.9
Barnesville,13216,13.1
Barnhart,106972,8.3
Barnum,16774,8.4
Barranquitas,14236,29.900000000000002
Bartlett,233418,6.0
Barton,23960,6.9
Bartow,7370,12.2
Basehor,33513,5.9
Basile,24619,10.1
Bassett,17164,12.0
Batavia,29675,6.7
Bates,2878,9.0
Batesburg,8107,9.0
Batesville,13088,7.4
Bath,6190,9.5
Bath Springs,4569,10.1
Battle Creek,18727,3.1
Battle Ground,11433,6.0
Battle Mountain,853,4.7
Bauxite,53363,5.3
Bay City,61787,16.1
Bay Port,13869,7.8
Bayamon,68598,16.1
Bayport,735010,6.4
Beach,964,1.0
Beach Haven,246680,8.8
Bealeton,34515,5.0
Bear Creek,29621,9.0
Beattyville,1967,9.7
Beaufort,70487,7.2
Beaumont,4014,7.4
Beaverton,287079,20.799999999999997
Bechtelsville,197703,9.0
Becker,47444,5.2
Bedford,3598,14.6
Bee Branch,5478,11.2
Beeson,23443,5.1
Beeville,10451,7.0
Bejou,3105,5.1
Belden,13476,6.6
Belgium,45522,4.5
Bella Vista,69261,10.3
Bellaire,9528,9.7
Belle Plaine,74498,4.6
Belleview,3878,11.4
Belleville,116537,8.9
Bellevue,92250,11.2
Bells,54835,7.8
Belmont,20410,9.2
Belpre,26082,6.8
Belvidere,5711,12.7
Bend,8014,13.5
Benicia,187021,11.4
Benkelman,932,4.0
Bennett,9763,3.0
Bennington,20923,13.4
Benzonia,7579,8.4
Berea,11131,23.700000000000003
Berkeley Springs,7144,12.3
Berlin Heights,35636,7.7
Bern,2598,3.3
Bernalillo,58433,9.2
Berryton,7264,8.2
Berthoud,129395,6.6
Berwick,21161,12.2
Bessemer,5759,9.5
Bethlehem,555416,15.600000000000001
Bethune,3421,5.9
Beulah,12691,18.900000000000002
Biddeford,103506,5.9
Big Cabin,16849,7.0
Big Pine Key,38504,6.0
Big Rock,11938,20.7
Big Sandy,8354,18.6
Big Spring,499,2.5
Big Wells,4210,10.3
Bighill,39435,8.6
Biglerville,50517,5.7
Billings,116150,10.5
Billingsley,17895,9.1
Binford,1203,2.0
Bingen,7766,7.0
Bird City,1321,1.9
Birdsnest,4830,9.5
Birmingham,293202,9.1
Bisbee,1059,2.9
Bishop,15431,20.2
Bismarck,62668,9.899999999999999
Black River,44732,10.6
Black River Falls,20936,6.5
Blacksburg,66614,16.2
Blackstone,5644,10.8
Blackwell,7911,10.8
Blanchard,16399,6.2
Blanchardville,8705,3.6
Blanchester,115667,14.7
Blanco,23129,12.600000000000001
Bledsoe,1180,8.5
Bloomery,8878,8.1
Bloomfield,5468,6.1
Bloomingdale,32252,8.4
Bloomington Springs,30346,8.4
Blountsville,22189,7.7
Blue Mound,15151,5.4
Blue Mountain,10949,10.7
Blue Ridge,13259,6.7
Blue River,26157,4.6
Blue Springs,337352,11.899999999999999
Bluff City,2750,3.7
Bluff Dale,22208,5.0
Bluffton,8567,8.3
Bogart,26679,7.9
Bogata,4697,7.2
Boise,2768,10.5
Bomont,2891,12.3
Bond,8274,5.7
Bonesteel,2007,2.1
Bonita Springs,141106,7.8
Bonners Ferry,3888,4.7
Boone,23928,9.5
Boones Mill,25149,6.2
Boonville,15747,8.3
Boston,438862,29.0
Boswell,18472,8.1
Boulder,2000,8.6
Bouton,40388,2.6
Boutte,24804,7.7
Bovina,4665,3.6
Bowie,477180,20.9
Bowlegs,9379,8.4
Bowling Green,122186,15.100000000000001
Bowman,1721,1.8
Box Elder,7364,4.0
Boyertown,418411,6.4
Bozeman,52450,6.3
Bracey,19061,17.4
Brackenridge,612259,7.1
Brackettville,1213,13.2
Bradenton Beach,140416,8.6
Bradford,22757,17.2
Bradgate,3483,4.9
Bradleyville,23414,9.0
Brady,3727,4.3
Braidwood,333433,7.8
Branchville,8399,5.6
Brandon,608977,9.0
Brandy Station,22103,7.3
Brasstown,3920,12.3
Braxton,69233,5.4
Brazil,6730,7.8
Breaux Bridge,23921,7.2
Breckenridge,12093,9.5
Breda,5151,4.0
Breeding,2449,10.2
Bremen,21470,8.3
Bremo Bluff,12076,5.2
Bremond,6068,7.2
Brenham,27863,11.3
Brewerton,220774,7.2
Briceville,31814,7.7
