City,Mean,Stdev,Median
Abbeville,38459.42857142857,32514.428571428572,28405.14285714286
Abbotsford,58254.0,48933.0,44919.0
Aberdeen,68306.5,48011.125,61055.125
Abilene,51441.86666666667,39243.666666666664,74357.66666666667
Abingdon,85714.16666666667,54581.333333333336,177704.0
Abington,96960.5,49696.0,300000.0
Absecon,82679.5,57525.0,70219.0
Accokeek,117700.0,64941.0,110583.0
Accomac,47414.0,39440.0,34691.0
Accord,86425.0,76014.0,54763.0
Accoville,47260.0,38659.0,34486.0
Ackerman,53229.0,41154.0,38470.0
Acme,17499.0,1826.0,300000.0
Acton,118890.0,73967.0,124665.0
Acworth,89157.0,54879.4,120652.8
Ada,42968.0,35990.666666666664,34875.333333333336
Adair,57099.5,36681.5,52940.5
Adairsville,53935.0,37762.0,55242.0
Adairville,41098.0,34451.0,32184.0
Adams,59773.0,49475.666666666664,43414.0
Adamsville,59772.5,46746.25,108580.0
Addison,72793.6,50661.3,86268.4
Adel,50998.2,46020.4,38588.6
Adelanto,36944.0,34598.0,17430.0
Adelphi,92036.0,66321.0,73008.0
Adena,51340.5,37181.5,48046.5
Adjuntas,19255.0,22627.75,11551.75
Adrian,63243.0,48954.88888888889,133784.44444444444
Advance,96650.0,84167.0,60938.0
Afton,63641.0,45380.5,53037.75
Agawam,64780.0,45370.0,57281.0
Agoura,140704.0,58244.0,300000.0
Agoura Hills,182475.0,67315.0,300000.0
Agra,59451.0,52525.0,43787.0
Agua Dulce,91975.0,86857.0,58769.0
Aguada,15078.4,12503.6,11323.6
Aguadilla,26461.285714285714,33250.71428571428,13693.42857142857
Aguanga,64425.0,33988.0,69282.0
Aguas Buenas,22111.25,28044.0,13532.0
Aguilar,55886.0,46317.0,38235.0
Ahoskie,51360.0,42486.0,41196.0
Aibonito,23915.5,20945.0,16304.5
Aiea,86804.0,57607.333333333336,162937.33333333334
Aiken,68318.0,52306.28571428572,117242.71428571429
Ailey,54820.0,47288.5,43081.5
Ainsworth,66555.5,36802.0,187771.5
Aitkin,53095.5,42634.5,43621.0
Ajo,48950.0,46654.5,30239.5
Akron,53194.675,38266.5,55835.025
Alabaster,81118.33333333333,50207.666666666664,149711.33333333334
Alachua,78442.5,53124.0,65954.5
Alakanuk,40008.0,32543.0,33347.0
Alameda,89726.375,71335.125,72782.25
Alamo,39356.0,34464.5,23715.0
Alamogordo,60712.4,44507.4,98873.2
Alamosa,42143.0,50316.5,25060.5
Alba,41510.0,30096.0,36521.0
Albany,52808.97142857143,39286.77142857143,90536.91428571429
Albemarle,61027.666666666664,49856.666666666664,51923.0
