City,Income,IncomeErr,IncomePerCap,IncomePerCapErr
Aberdeen,43538.0,1652.0,22387.0,757.0
Abilene,45396.0,1528.0,23896.0,744.0
Abingdon,61887.5,1531.5,30548.5,744.0
Adams Run,54901.0,1488.0,25223.0,776.0
Addison,41335.0,1300.0,22478.5,783.0
Adena,43833.0,1491.0,23684.0,711.0
Adger,35843.0,1700.0,20166.0,635.0
Adjuntas,10499.0,1326.0,7270.0,695.0
Adrian,49468.0,6145.5,23352.0,3381.5
Afton,53173.5,4706.5,25287.0,2467.5
Aguada,16648.0,1089.5,9381.0,469.0
Aguadilla,15707.0,825.0,8371.0,568.0
Aguas Buenas,14824.0,1256.0,8441.0,1431.0
Aguirre,15240.0,1454.0,8286.0,424.0
Aiken,34336.0,3102.0,19026.0,1270.0
Akron,38949.0,2378.5,20311.0,1214.5
Akutan,61518.0,2684.0,28608.0,1895.0
Alamo,35464.0,2377.0,19178.0,1282.0
Alamogordo,39775.0,1700.0,19457.0,711.0
Alamosa,39672.0,4196.0,22269.0,1747.0
Albany,44270.57142857143,3102.5714285714284,22813.0,1295.5714285714287
Albion,50306.0,3055.0,27799.0,1872.0
Albrightsville,49973.0,1462.0,25398.0,1109.0
Albuquerque,47725.0,789.0,26765.0,356.0
Alexander,48605.0,2080.0,25417.0,1472.0
Alexander City,53555.0,1980.0,24381.0,941.0
Alexandria,50181.0,1617.0,28684.0,2545.0
Alice,33939.0,5080.0,20752.0,2417.0
Aliceville,19501.0,2420.0,12887.0,809.0
Alix,39285.0,1922.0,19550.0,1205.0
Alleghany,42833.0,8464.0,29986.0,5447.0
Allen,84735.0,1217.0,38883.0,427.0
Allendale,40841.0,2772.0,14468.0,4129.0
Allenhurst,48863.0,4807.0,18166.0,1177.0
Alleyton,46618.0,2516.0,25578.0,2021.0
Alliance,41985.0,2132.0,23734.0,1766.0
Allison,52221.0,3197.0,26184.0,1837.0
Allouez,37813.0,4009.0,24384.0,2719.0
Alma,36773.5,2988.0,18397.5,1340.0
Alma Center,47851.0,2402.0,23299.0,668.0
Almena,45714.0,1117.0,23852.0,587.0
Almyra,36411.0,2766.0,22473.0,1756.0
Alpena,43745.0,3101.3333333333335,26007.333333333332,2565.0
Alpharetta,57207.0,835.0,37926.0,541.0
Alpine,49798.0,1074.5,25255.0,708.5
Alston,34672.0,2095.0,17402.0,1129.0
Altamont,58114.0,1661.0,28902.0,610.0
Alto,40807.5,2327.0,22391.0,1482.5
Altonah,61133.0,2017.0,23576.0,794.0
Altoona,46403.0,1069.0,24236.0,514.0
Altus,41560.0,2135.0,21923.0,1265.0
Alva,52735.5,3057.0,27466.5,3193.5
Alvo,65619.0,2581.0,30694.0,1169.0
Amado,46162.0,620.0,25729.0,261.0
Amargosa Valley,41712.0,1666.0,23085.0,1091.0
Amarillo,49565.5,1571.0,25381.5,799.5
Amasa,33663.0,1724.0,21725.0,927.0
Amboy,60756.0,842.0,28801.0,335.0
Amelia,46728.0,2834.0,25672.0,1506.0
Amistad,36070.0,2676.0,21705.0,3733.0
Amity,33097.0,2443.0,19294.0,1051.0
Anaconda,43955.5,4901.5,25146.0,2283.0
Anamosa,55060.0,2891.0,26937.0,1515.0
Anawalt,24921.0,1590.0,14874.0,891.0
Anchorage,78326.0,1872.0,36920.0,758.0
Andalusia,34387.0,1941.0,19011.0,785.5
Anderson,42143.0,1065.0,22400.0,499.0
Andersonville,28684.0,3453.0,13431.0,1003.0
Andrews,52542.5,4067.0,24105.0,1652.0
Angela,51159.0,5884.0,23238.0,1073.0
Angola,56685.0,12161.0,22122.0,2017.0
Angoon,52419.0,7157.0,30943.0,3265.0
Angora,45910.0,2585.0,24869.0,2175.0
Animas,34444.0,4574.0,18871.0,1700.0
Annabella,46291.0,2800.0,19261.0,842.0
Annapolis,35097.0,4993.0,17179.0,1031.0
Anniston,41703.0,925.0,21374.0,489.0
Antigo,41775.0,2442.0,23857.0,812.0
Apache,40674.0,1790.0,20003.0,980.0
Appleton City,32046.0,1490.0,18840.0,1218.0
Arab,38983.0,1262.0,21363.0,676.0
Aragon,42973.0,5065.0,20685.0,2724.0
Aransas Pass,41690.0,3678.0,28472.0,2723.0
Arapahoe,41689.0,2197.5,23472.5,1076.5
Arcadia,37283.0,3193.0,19979.666666666668,1377.3333333333333
Arcanum,49693.5,1595.5,24867.0,805.5
Arco,37891.0,6713.0,21982.0,3013.0
Arcola,51810.0,2087.0,25455.0,1166.0
Ardenvoir,51837.0,1886.0,25564.0,852.0
Ardmore,38776.0,3469.0,20425.0,1254.0
Arena,55188.0,2200.0,27664.0,879.0
Arkadelphia,35031.0,2501.0,19555.0,1106.0
Arlington,67016.66666666667,2535.1666666666665,37562.5,1392.8333333333333
Armagh,45195.0,1339.0,23450.0,774.0
Armour,52500.0,3625.0,29235.0,2424.0
Armstrong,36438.0,10695.0,14251.0,3914.0
Arnett,41032.0,1673.0,22405.0,807.0
Arnold,48096.333333333336,6580.666666666667,26929.666666666668,3063.6666666666665
Arpin,48961.0,1413.0,26516.0,667.0
Arroyo,15298.0,1594.0,7562.0,842.0
Artemus,26599.0,2214.0,15599.0,1115.0
