City,Professional,Service,Office,Construction,Production
Aberdeen,25.0,24.9,23.1,11.8,15.1
Abilene,30.3,21.9,25.8,11.1,10.9
Abingdon,76.8,31.8,49.8,15.899999999999999,25.7
Adams Run,34.5,16.7,26.1,10.5,12.3
Addison,56.3,40.400000000000006,40.400000000000006,30.8,32.0
Adena,26.4,19.9,23.7,14.6,15.3
Adger,25.4,17.6,25.3,14.2,17.6
Adjuntas,34.3,18.1,21.7,12.9,13.1
Adrian,67.2,38.8,43.8,21.0,29.2
Afton,72.1,32.0,36.8,39.7,19.3
Aguada,61.1,45.8,51.2,22.1,19.9
Aguadilla,28.4,20.3,29.6,13.6,8.1
Aguas Buenas,26.2,16.5,27.3,16.0,14.0
Aguirre,23.2,27.9,22.2,15.1,11.6
Aiken,26.7,18.3,21.6,13.0,20.4
Akron,50.2,35.599999999999994,43.8,23.1,47.5
Akutan,13.6,9.4,7.2,14.2,55.6
Alamo,28.4,14.4,22.0,13.1,22.1
Alamogordo,25.2,25.9,26.0,15.4,7.4
Alamosa,29.0,19.9,23.0,17.8,10.3
Albany,230.50000000000003,121.89999999999999,162.6,74.59999999999998,110.59999999999998
Albion,35.6,17.5,18.5,16.1,12.3
Albrightsville,27.2,18.9,22.6,12.2,19.0
Albuquerque,40.3,19.9,23.5,8.6,7.8
Alexander,30.4,17.2,18.2,14.3,19.9
Alexander City,33.3,16.0,25.2,9.6,15.9
Alexandria,73.69999999999999,32.7,48.0,19.6,26.1
Alice,18.1,24.4,21.9,22.9,12.6
Aliceville,23.8,29.9,19.7,7.1,19.6
Alix,26.0,18.3,22.0,12.2,21.6
Alleghany,33.9,11.8,18.2,17.8,18.3
Allen,52.1,11.8,25.2,5.2,5.7
Allendale,30.4,20.6,23.9,7.7,17.3
Allenhurst,27.1,18.0,27.2,13.4,14.3
Alleyton,29.0,16.9,20.4,16.2,17.5
Alliance,42.2,16.3,20.4,14.8,6.4
Allison,27.7,17.7,19.6,22.1,12.9
Allouez,35.6,29.3,15.3,10.2,9.5
Alma,52.4,27.1,49.7,36.099999999999994,34.599999999999994
Alma Center,26.4,21.8,19.0,13.4,19.4
Almena,26.6,17.1,20.6,12.2,23.5
Almyra,26.8,17.0,20.8,8.7,26.7
Alpena,88.4,52.099999999999994,54.8,42.2,62.400000000000006
Alpharetta,49.4,15.0,24.1,4.0,7.5
Alpine,69.1,36.0,43.7,19.9,31.299999999999997
Alston,25.2,19.3,21.6,10.7,23.2
Altamont,38.2,19.4,25.4,7.0,10.0
Alto,57.1,44.9,46.8,23.700000000000003,27.599999999999998
Altonah,29.7,13.8,18.4,21.3,16.7
Altoona,31.0,21.5,27.6,10.4,9.6
Altus,25.8,21.8,21.5,15.5,15.4
Alva,60.400000000000006,38.2,39.599999999999994,31.9,29.9
Alvo,32.6,16.3,25.2,12.7,13.2
Amado,36.0,21.7,25.0,8.9,8.4
Amargosa Valley,23.9,25.3,25.8,15.4,9.6
Amarillo,62.0,40.6,50.0,20.9,26.6
Amasa,25.6,20.3,24.4,13.8,15.8
Amboy,34.9,17.3,24.7,9.1,14.0
Amelia,33.5,17.9,21.5,14.8,12.2
Amistad,39.6,24.2,13.9,13.0,9.2
Amity,25.2,17.9,19.3,19.0,18.6
Anaconda,66.0,45.7,34.5,29.9,24.1
Anamosa,29.9,18.1,19.6,12.1,20.3
Anawalt,23.4,24.9,20.6,18.2,13.0
Anchorage,39.7,17.7,23.9,9.4,9.3
Andalusia,51.599999999999994,37.4,46.7,26.2,38.099999999999994
Anderson,30.3,16.5,25.3,9.5,18.4
Andersonville,20.5,20.4,19.5,11.8,27.8
Andrews,48.599999999999994,30.6,49.5,38.5,33.0
Angela,34.6,19.5,16.5,19.7,9.7
Angola,39.1,21.6,16.0,16.3,6.9
Angoon,35.6,18.1,16.5,18.1,11.6
Angora,25.9,17.1,22.9,22.8,11.3
Animas,24.5,26.9,20.8,18.4,9.3
Annabella,26.2,18.2,24.4,15.3,16.0
Annapolis,19.3,23.1,24.7,13.9,19.0
Anniston,27.3,17.7,24.2,10.5,20.4
Antigo,25.8,17.2,24.1,13.8,19.1
Apache,28.1,16.9,21.5,18.5,15.0
Appleton City,26.2,20.7,23.2,13.7,16.2
Arab,28.1,14.6,22.7,13.4,21.1
Aragon,34.3,14.8,22.7,25.5,2.7
Aransas Pass,28.6,19.9,22.7,18.5,10.3
Arapahoe,65.9,32.3,43.3,30.900000000000002,27.6
Arcadia,77.8,61.8,58.099999999999994,55.900000000000006,46.4
Arcanum,55.2,35.9,42.900000000000006,21.0,44.9
Arco,34.3,20.4,15.0,15.9,14.4
Arcola,26.3,15.4,25.1,11.6,21.5
Ardenvoir,29.3,19.5,20.4,16.8,14.0
Ardmore,33.3,15.2,17.6,13.6,20.4
Arena,32.4,16.3,23.2,13.4,14.7
Arkadelphia,35.0,21.1,22.4,7.4,14.0
Arlington,250.79999999999998,89.8,127.0,59.2,73.2
Armagh,29.4,18.7,24.1,12.6,15.1
Armour,34.5,20.7,19.8,12.5,12.5
Armstrong,24.9,34.1,20.5,20.5,0.0
Arnett,31.3,20.9,24.0,14.2,9.6
Arnold,102.19999999999999,53.400000000000006,58.1,43.2,43.099999999999994
Arpin,30.4,16.5,22.7,10.0,20.4
Arroyo,25.5,28.6,20.9,11.2,13.9
Artemus,25.8,18.6,25.4,11.1,19.2
Ash,28.8,21.6,25.9,13.4,10.3
Ash Grove,63.5,40.7,44.9,19.0,31.8
Ashburn,62.4,32.8,50.0,28.6,26.299999999999997
Ashburnham,40.9,17.5,23.1,7.5,11.0
Ashford,26.5,19.6,21.4,20.1,12.5
Ashland,134.3,61.9,84.49999999999999,43.300000000000004,76.0
Ashley,35.4,19.0,18.6,14.6,12.5
Aspen,40.4,23.6,25.0,6.9,4.0
Assaria,31.3,18.0,20.9,9.7,20.1
Astoria,32.3,24.8,24.0,8.2,10.7
