City,Poverty,ChildPoverty
Aberdeen,18.1,24.8
Abilene,17.4,21.6
Abingdon,20.8,28.8
Adams Run,13.1,18.4
Addison,31.8,44.3
Adena,14.6,21.5
Adger,22.5,32.2
Adjuntas,61.7,72.2
Adrian,27.4,38.900000000000006
Afton,28.0,34.5
Aguada,103.30000000000001,125.8
Aguadilla,55.9,62.1
Aguas Buenas,53.6,66.7
Aguirre,56.2,65.0
Aiken,26.9,41.9
Akron,42.0,61.099999999999994
Akutan,16.8,23.2
Alamo,19.9,25.8
Alamogordo,23.1,34.1
Alamosa,19.2,29.6
Albany,148.79999999999998,188.2
Albion,10.1,11.7
Albrightsville,10.9,19.6
Albuquerque,19.4,27.2
Alexander,13.3,21.6
Alexander City,13.6,20.5
Alexandria,26.6,38.5
Alice,23.9,36.2
Aliceville,42.7,57.1
Alix,22.0,28.3
Alleghany,14.6,22.7
Allen,7.6,9.5
Allendale,13.5,19.8
Allenhurst,17.9,23.0
Alleyton,15.1,19.1
Alliance,16.5,29.5
Allison,15.7,24.6
Allouez,15.3,26.3
Alma,40.2,55.3
Alma Center,14.6,25.3
Almena,12.6,17.4
Almyra,20.1,30.4
Alpena,40.9,56.2
Alpharetta,17.6,25.2
Alpine,36.0,48.3
Alston,25.3,35.9
Altamont,12.6,20.8
Alto,34.3,46.4
Altonah,10.4,13.2
Altoona,13.9,21.1
Altus,17.0,21.2
Alva,28.700000000000003,41.599999999999994
Alvo,6.2,7.5
Amado,19.3,27.5
Amargosa Valley,18.2,34.7
Amarillo,32.5,43.599999999999994
Amasa,15.6,24.8
Amboy,11.2,14.4
Amelia,11.8,12.6
Amistad,13.4,15.7
Amity,20.2,30.3
Anaconda,32.2,65.6
Anamosa,10.2,14.5
Anawalt,35.5,50.3
Anchorage,8.2,12.4
Andalusia,44.4,63.0
Anderson,16.4,23.6
Andersonville,29.6,33.6
Andrews,32.3,43.8
Angela,20.6,28.4
Angola,16.0,31.3
Angoon,11.9,29.2
Angora,11.7,14.5
Animas,23.3,38.3
Annabella,14.5,15.6
Annapolis,18.4,24.0
Anniston,20.5,31.6
Antigo,16.0,21.3
Apache,21.2,27.4
Appleton City,23.3,35.9
Arab,20.2,32.9
Aragon,17.2,18.1
Aransas Pass,19.0,36.4
Arapahoe,30.799999999999997,55.7
Arcadia,71.2,105.1
Arcanum,26.1,38.5
Arco,17.6,25.9
Arcola,10.3,14.8
Ardenvoir,14.3,19.9
Ardmore,19.3,27.2
Arena,10.4,11.8
Arkadelphia,23.7,32.6
Arlington,71.6,100.8
Armagh,17.3,20.5
Armour,8.6,11.2
Armstrong,26.7,39.3
Arnett,17.8,25.4
Arnold,40.5,44.7
Arpin,11.0,15.8
Arroyo,52.7,57.0
Artemus,32.6,48.8
Ash,16.3,29.1
Ash Grove,37.8,53.8
Ashburn,54.599999999999994,85.2
Ashburnham,11.8,15.7
