City,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute
Aberdeen,76.9,13.4,1.5,2.2,2.0,3.9,24.2
Abilene,81.4,11.4,0.6,2.3,1.8,2.5,15.9
Abingdon,83.7,8.95,1.0,1.6,0.7,4.05,27.45
Adams Run,83.6,9.9,0.6,0.9,1.2,3.8,28.2
Addison,78.4,10.95,0.15000000000000002,3.7,1.0,5.8,21.65
Adena,86.3,7.7,0.4,2.6,1.1,1.9,22.5
Adger,84.5,12.0,0.3,0.9,1.0,1.3,30.0
Adjuntas,87.9,5.6,0.0,5.5,0.0,1.0,29.7
Adrian,81.9,9.5,0.15,3.45,0.9,4.1,22.35
Afton,74.9,11.35,0.65,4.9,1.65,6.6,23.0
Aguada,78.35,13.649999999999999,0.55,3.6,0.8,2.95,23.35
Aguadilla,90.6,5.6,0.4,3.1,0.1,0.2,25.5
Aguas Buenas,81.4,8.9,3.0,3.6,0.8,2.3,34.0
Aguirre,84.0,5.9,0.5,6.0,2.3,1.3,24.1
Aiken,86.0,9.5,0.1,2.2,1.0,1.3,27.5
Akron,86.55000000000001,8.850000000000001,0.15,0.9500000000000001,1.65,1.9,26.700000000000003
Akutan,18.4,4.9,0.5,71.2,2.2,2.8,4.9
Alamo,88.4,6.1,0.0,1.3,0.5,3.7,23.4
Alamogordo,76.4,16.9,0.6,2.6,1.1,2.4,19.1
Alamosa,79.1,12.4,0.2,2.9,0.9,4.4,18.2
Albany,80.47142857142858,9.585714285714287,1.0142857142857142,2.5428571428571423,2.4,3.9571428571428577,22.242857142857144
Albion,77.0,7.5,0.0,4.7,1.0,9.8,17.0
Albrightsville,82.9,7.5,0.4,3.0,2.6,3.6,31.7
Albuquerque,79.9,9.4,1.8,2.0,2.6,4.1,21.6
Alexander,78.8,8.5,0.2,6.3,0.7,5.4,15.9
Alexander City,87.1,9.0,0.1,0.4,1.2,2.2,28.5
Alexandria,81.1,7.4,1.1500000000000001,3.5,0.75,6.15,18.25
Alice,70.0,19.3,0.0,5.7,1.7,3.3,26.9
Aliceville,86.2,8.4,0.3,2.8,0.3,2.0,24.3
Alix,77.5,12.2,1.0,1.7,0.6,7.1,27.1
Alleghany,71.1,8.8,0.0,4.2,3.8,12.1,28.2
Allen,81.6,7.2,1.1,0.8,1.4,7.8,28.2
Allendale,82.2,10.4,0.4,2.4,0.9,3.8,17.7
Allenhurst,79.5,12.7,0.5,0.9,6.1,0.3,27.4
Alleyton,87.2,7.8,1.1,1.9,0.2,1.8,21.4
Alliance,71.5,10.3,0.0,9.9,1.4,6.9,18.0
Allison,86.5,8.0,0.0,1.3,1.9,2.3,18.1
Allouez,71.3,15.8,0.1,3.9,1.3,7.6,22.0
Alma,80.3,15.299999999999999,0.45,1.6,0.7,1.7,20.55
Alma Center,79.7,11.1,0.1,2.5,1.3,5.3,22.1
Almena,79.2,7.6,0.2,5.5,1.3,6.2,19.6
Almyra,80.9,13.0,0.3,2.1,1.4,2.4,15.1
Alpena,76.26666666666667,11.1,0.16666666666666666,4.5,1.1,6.833333333333333,20.6
