,City,Poverty,Diversity,Employment,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Income,IncomeErr,IncomePerCap,IncomePerCapErr
0,Aberdeen,67.7,5060.57,1593338.16,592,225,1358,1694,95,1694,95,765,1701,2384,864,16,2152,145,95,1993,7,1412,1471,1412
1,Abilene,60.6,4511.589999999999,3691277.6799999997,16,2584,960,835,288,1714,2106,1930,1276,249,95,2193,1315,1735,1411,638,1337,663,476,663
2,Abingdon,78.4,5403.88,9224854.159999998,2115,1479,16,1964,835,16,1068,2511,2438,1214,1493,747,605,2179,1951,2027,1471,1637,1339,110
3,Adams Run,49.9,4382.249999999999,4057072.0,2394,938,711,2197,377,1951,447,1936,702,2552,1451,2596,1199,1535,699,640,476,1875,1310,1875
4,Addison,120.39999999999999,5674.52,2804325.04,2433,2325,748,2109,1566,747,1694,711,1749,2524,1749,2537,1583,848,2197,2023,532,1220,532,1637
5,Adena,57.6,5716.26,1807795.5999999999,2309,1014,2547,1717,81,326,1497,2331,1163,2107,1492,2376,2357,2223,1953,2021,1310,777,1219,2108
6,Adger,86.9,5551.179999999999,1462261.2799999998,27,1787,1363,43,1808,2537,1080,702,378,923,11,1714,1387,896,2376,652,1835,296,149,326
7,Adjuntas,206.10000000000002,1858.4199999999998,250285.19999999998,2440,2168,348,2080,826,2376,2141,701,2064,2392,1729,2394,1669,763,1714,655,1339,2145,7,1609
8,Adrian,105.20000000000002,5094.92,2667801.6,2438,1112,288,2608,1822,1315,507,700,871,367,33,1034,1726,1836,1148,2017,1021,1195,154,777
9,Afton,97.0,5166.87,576438.4,669,1078,2229,455,1082,714,204,1953,70,1726,2568,1951,1617,284,1740,657,2114,881,1021,1220
10,Aguada,354.9,1912.445,1592178.16,1318,204,835,2536,108,110,1740,693,2529,95,2155,1547,712,2198,1805,2016,1588,1118,2114,2145
11,Aguadilla,180.1,1874.7500000000002,636277.36,946,16,1301,913,1694,2109,2258,689,1919,1740,1337,1315,747,1792,1040,664,154,1609,1861,1245
12,Aguas Buenas,187.0,1883.68,393671.51999999996,2043,1566,1303,1308,2117,71,2453,1957,1470,656,1822,1458,1429,1684,63,670,2073,1235,99,1573
13,Aguirre,186.2,1858.34,474957.51999999996,75,835,399,2572,739,1458,1310,2327,1969,99,1427,71,1441,1162,1011,2003,12,326,1337,2313
14,Aiken,110.69999999999999,3762.23,488557.04,249,1376,2502,914,2038,1227,2357,682,306,377,886,605,2084,2375,953,1994,2110,2520,1835,2082
15,Akron,164.2,4394.175000000001,1218957.04,226,787,553,2091,225,2394,700,1967,134,2229,1400,950,2440,292,2250,684,149,724,1588,430
